tracker_id,style_number,style_name,fabric_text,stored_fabric_style_key,status,resolved_fabric_style_key,candidates
"78","V0826023","Vivo Pleated Wide Leg Pants in Twill","YIHAO 681112 Light Polyester Crepe","yihao 68 1112","resolved","yihao 68 1112","yihao 68 1112"
"79","V0826080","Vivo Mistari 3/4 Sleeve Kaftan Dress in Twill",".YIHAO 57 2345","yihao 57 2345","resolved","yihao 57 2345","yihao 57 2345"
"80","V0526095","Vivo Ustawi Easy Fit Shirt in Crepe (R)","Showme 18206","show me 18206","resolved","show me 18206","show me 18206"
"81","V0626058","Vivo Wide Bubble Sleeve Top in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"82","V0826012","Safari by Vivo Off-Shoulder Maxi Dress in Cotton","Minglei 810","ming lei 810","resolved","ming lei 810","ming lei 810"
"83","V0726016","Vivo Long Sleeve Bodysuit in Rayon","REEYON LY001 Heavy Interlock Jersey","reeyon ly001","resolved","reeyon ly001","reeyon ly001"
"84","V0726023","Vivo Dua Long Sleeve Shirt in Textured Satin (REFRESH)","YIWAN 8083 Light Polyester Satin","yiwan 8083","resolved","yiwan 8083","yiwan 8083"
"85","S0226012","Safari By Vivo Barrel Pants in Cotton (Relaxed Barrel Jeans ETSY)","YIYI Y760 Medium Cotton Twill","yiyi y760","resolved","yiyi y760","yiyi y760"
"86","S0726009","Safari By Vivo Panelled Barrel Pants in Linen Blend","AMDHIR Light Linen Blend","","unresolved","",""
"87","V0626077","Vivo Drawstring Wide Pants in Crepe","EQ 1441","eq 1441","resolved","eq 1441","eq 1441"
"88","S0526028","Safari by Vivo Coat in Kitenge","ANNINGTEX Kitenge","anningtex kitenge","resolved","anningtex kitenge","anningtex kitenge"
"89","V0826056","Vivo Gathered Neck Jacket (ETSY)","HUAMING 2018 Medium Polyester Satin","huaming 2018","resolved","huaming 2018","huaming 2018"
"90","V0926001","Vivo Round Neck Maxi Kaftan in Satin","Huaming 2018D","","unresolved","","huaming 2018"
"91","V0826010","Vivo Back Pleat Coat Dress in Cotton Denim Twill","SHUNYUAN H407 Medium Cotton Denim","shunyuan h407","resolved","shunyuan h407","shunyuan h407"
"92","V0726034","Vivo Wastani Shirred Sleeve Shirt Dress in Crepe","HUAYI B865 Medium Polyester Crepe","huayi b865","resolved","huayi b865","huayi b865"
"93","S0626064","Safari by Vivo Contrast Stitch Top in Linen Blend","Xuegui 2317","xuegui 2317","resolved","xuegui 2317","xuegui 2317"
"94","V0926018","Vivo Nimali Top in Kitenge","ANNINGTEX Kitenge","anningtex kitenge","resolved","anningtex kitenge","anningtex kitenge"
"95","V0626079","Safari by Vivo Panelled Oversized Short Sleeve Top in Linen","Linen","","unresolved","",""
"96","V0626082","Safari by Vivo Short Sleeved Top in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"97","V0926002","Vivo Essi Front Slit Maxi Top in Textured Satin","Yiwan 8083","yiwan 8083","resolved","yiwan 8083","yiwan 8083"
"98","V0326041","Vivo Dropped Waist Maxi Dress in Cotton","YIYI N272 Light Cotton Poplin","yiyi n272","resolved","yiyi n272","yiyi n272"
"99","V0526099","Vivo Flounce Maxi Dress In Kitenge (R)","Kitenge","","unresolved","",""
"100","V0526098","Vivo Off Shoulder Tiered Maxi Dress in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"101","V0426011","Vivo Relaxed Shirt Dress in Crepe","Showme 18206","show me 18206","resolved","show me 18206","show me 18206"
"102","V0526085","Vivo Cape Top in Stretch Rib","GAOHENG H1031","gaoheng h1031","resolved","gaoheng h1031","gaoheng h1031"
"103","V0826024","Vivo Tanda Cowl Sweater in Jersey","","","unresolved","",""
"104","V0826005","Vivo Side Pleat Top in Jersey","REEYON LY470A Medium Rayon Jersey","reeyon ly470a","resolved","reeyon ly470a","reeyon ly470a"
"105","V0526026","Vivo Extra Wide Leg Pants in Denim","HONG YU F8953 Light Cotton Denim","","unresolved","","hong yu f8953"
"106","V0826055","Vivo Straight Leg Pants in Stretch Rib","GAOHENG H1031","gaoheng h1031","resolved","gaoheng h1031","gaoheng h1031"
"107","V0826006","Vivo Wide leg Pants in Crepe","Showme 18206","show me 18206","resolved","show me 18206","show me 18206"
"108","S0726044","Safari by Vivo Oversized Jacket in Twill  (Zoe Jacket ETSY)","WAN HEXIN Kata Tiao -Dark Green","wan hexin kata tiao dark green","resolved","wan hexin kata tiao dark green","wan hexin kata tiao dark green"
"109","V0526086","Vivo Reversible Tulip Coat in Corduroy (NEW)","FANGQI Microfiber High Elastic Medium Rayon Jersey Rib","fangqi microfiber high elastic","resolved","fangqi microfiber high elastic","fangqi microfiber high elastic"
"110","V0626048","Vivo Sleeveless Pleat Neck Jacket in Crepe","YIHAO 681112 Light Polyester Crepe","yihao 68 1112","resolved","yihao 68 1112","yihao 68 1112"
"111","V0626050","Vivo Sleeveless Tent Jacket in Crepe","YAT TAJ HONG CA13550 Medium Polyester Crepe","yat taj hong ca13550","resolved","yat taj hong ca13550","yat taj hong ca13550"
"112","S0826014","Safari by Vivo Sleeveless Front Zip Jumpsuit in Cotton (Etsy Front Zip Jumpsuit)","SHUNYUAN 1728 Medium Cotton Twill","shunyuan 1728","resolved","shunyuan 1728","shunyuan 1728"
"113","V0626012","Vivo Drop Shoulder Jumpsuit in Denim (Etsy Everyday Luxe Jumpsuit)","Hua Yi F-005 Medium Polyester Denim","huayi f005","resolved","huayi f005","huayi f005"
"114","V0626032","Vivo Button Up Pintuck in Satin","Eastleigh Medium Satin","","unresolved","",""
"115","V0826009","Vivo Short Sleeve Maxi Dress in Cotton","SHUNYUAN H179 Medium Cotton Twill","shunyuan h179","resolved","shunyuan h179","shunyuan h179"
"116","V0826008","Vivo Sleeveless Front Pleat Maxi Dress in Dobby","YIQI 1130  Light Rayon Twill","yiqi 1130","resolved","yiqi 1130","yiqi 1130"
"117","V0526055","Vivo Ustawi Bubble Sleeve Maxi Tie Dress in Crepe","Showme 18208","show me 18208","resolved","show me 18208","show me 18208"
"118","V0626081","Vivo Shirred Sleeve Top in Cotton","YIYI N273","","unresolved","",""
"119","V0423018","Vivo Wastani Shirred Sleeve Easy Fit Shirt","HUAYI B865 Medium Polyester Crepe","huayi b865","resolved","huayi b865","huayi b865"
"120","V0826007","Vivo Sleeveless Waterfall in Crepe","Showme 18206","show me 18206","resolved","show me 18206","show me 18206"
"121","V0826028","Vivo Wide Leg Pants in Ponte TO MATCH ETSY SWEATSHIRT","BAO DELI","baodeli","resolved","baodeli","baodeli"
"122","V0826038","Vivo Pullover in Fleece (ETSY)","Maziwa Fleece","","unresolved","","maziwa"
"123","V0726032","Vivo Raglan Sleeve Sweatshirt in Ponte (ETSY)","GAO SHANG 6034 Medium Rayon Ponte","gao shang 6034","resolved","gao shang 6034","gao shang 6034"
"124","V0626072","Vivo Asymetrical Sleeveless Coat in Twill","YIWAN 8075 Medium Polyester Twill","yiwan 8075","resolved","yiwan 8075","yiwan 8075"
"125","V0526047","Vivo Long Sleeved Tie Blazer in Ponte","Shunyuan 18A-46","shunyuan 18a46","resolved","shunyuan 18a46","shunyuan 18a46"
"126","V0826037","Vivo Zipper Jacket in Ponte (ETSY)","Runfeng 8004","runfeng 8004","resolved","runfeng 8004","runfeng 8004"
"127","V0726029","Vivo Butterfly Sleeve Knee Length Dress","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"128","V0826027","Vivo Ustawi Knee Length Shirt Dress in Crepe","Dexin 100D Supersoft","","unresolved","",""
"129","S0726037","Safari By Vivo Cocoon Top in Linen Blend","XUEGUI 2317 Light Linen Blend","xuegui 2317","resolved","xuegui 2317","xuegui 2317"
"130","V0626033","Vivo High Low Top in Satin","Hua Ming 2018/100D","huaming 2018 100d","resolved","huaming 2018 100d","huaming 2018 100d"
"131","V0826004","Vivo Bubble Gathered Midi Dress in Cotton Blend","XUEGUI Y022 Light Poly Cotton Blend","xuegui y022","resolved","xuegui y022","xuegui y022"
"132","V0626056","Vivo Scooped Tank Top in Satin","Yiwan 8068","yiwan 8068","resolved","yiwan 8068","yiwan 8068"
"133","V0526025","Vivo Cinch Shirt in Heavy Crepe","Yiwan 8053","yiwan 8053","resolved","yiwan 8053","yiwan 8053"
"134","V0626051","Vivo Barrel Pants in Scuba","PU SHY 8086","pushy 8086","resolved","pushy 8086","pushy 8086"
"135","V0726004","Vivo Straight Leg Pants in Crepe (NEW)","YAT TAJ HONG CA13550 Medium Polyester Crepe","yat taj hong ca13550","resolved","yat taj hong ca13550","yat taj hong ca13550"
"136","V0826039","Vivo Sleeveless Waistcoat in Cotton Denim (ETSY)","SHUNYUAN H407 Medium Cotton Denim","shunyuan h407","resolved","shunyuan h407","shunyuan h407"
"137","S0826013","Safari by Vivo Utility Jumpsuit in Cotton (ETSY Boiler Suit Jumpsuit)","YIYI Y760 Medium Cotton Twill","yiyi y760","resolved","yiyi y760","yiyi y760"
"138","S0826034","Safari by Vivo Midi Dress in Linen (ETSY)","Sample in Tanzania Kitenge","","unresolved","",""
"139","S0726002","Safari by Vivo Front Pleat Loose Shirt in Linen Blend","XINHENGSHENG 1623 Light Cotton Twill","xinhengsheng 1623","resolved","xinhengsheng 1623","xinhengsheng 1623"
"140","V0626057","Vivo Crossed Cuff Top in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"141","V0826042","Vivo Oversized Shirt ETSY","Yihao 118-2077 Army Green","","unresolved","","yihao 118 2077"
"142","S0826036","Safari by Vivo Boho Dress in Kitenge ( ETSY)","Sample in Tanzania Kitenge","","unresolved","",""
"143","S0826015","Safari by Vivo Sleeveless Panelled Dress in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"144","V0526096","Vivo Four Tiered Maxi Dress in Chiffon (R)","Chiffon","","unresolved","",""
"145","V0526033","Vivo Halter Neck Contrast Maxi Dress in Denim","CHECK JUMPSUIT DENIM TO SHARE","","unresolved","",""
"146","V0726027","Vivo Bias Skirt in Satin (Etsy)","????","","unresolved","",""
"147","V0826046","Vivo Batwing Blouse in Crepe (ETSY)","Hong Yu F0321","hong yu f0321","resolved","hong yu f0321","hong yu f0321"
"148","V0826016","Vivo Ruffle Tie Neck Top in","","","unresolved","",""
"149","V0826044","Vivo Drop Shoulder T-Shirt in Jersey  (ETSY)","Shunwang 3019","","unresolved","",""
"150","V0826047","Vivo Sleeveless T-Shirt in Jersey (ETSY)","Shunwang 3019","","unresolved","",""
"151","V0826041","Vivo Halter Top in Satin  (ETSY)","Eastleigh Medium Satin","","unresolved","",""
"152","V0826043","Vivo Sleeveless Top Pattern in Cotton (ETSY)","Sample in Tanzania Kitenge","","unresolved","",""
"153","V0426005","Vivo Buttoned Jumpsuit In Linen","Linen","","unresolved","",""
"154","V0826035","Vivo Maxi Kaftan in Crepe (ETSY)","Showme 18208","show me 18208","resolved","show me 18208","show me 18208"
"155","S0626053","Safari By Vivo Ruffle Sleeve Top in Cotton","YIYI N272","yiyi n272","resolved","yiyi n272","yiyi n272"
"156","S0826040","Safari by Vvo Maxi Skirt in Linen (ETSY)","Sample in Tanzania Kitenge","","unresolved","",""
"157","S0626074","Safari By Vivo Cocoon Dress in Linen Blend","XINHENGSHENG 1623 Light Cotton Twill","xinhengsheng 1623","resolved","xinhengsheng 1623","xinhengsheng 1623"
"158","V0626060","Vivo Drop Shoulder Tie Neck Top in Chiffon","Huaming Coarse Hemp","huaming coarse hemp","resolved","huaming coarse hemp","huaming coarse hemp"
"159","V0826045","Vivo Relaxed Blouse in Crepe  (ETSY)","Showme 18206","show me 18206","resolved","show me 18206","show me 18206"
"160","V0826048","Vivo Kimono (ETSY)","","","unresolved","",""
"161","V0326010","Vivo V-Neck Jumpsuit in Crepe","Dexin 100D Supersoft","","unresolved","",""
"162","V0626063","Vivo Extra Wide Pants in Crepe","Yihao 68 992","yihao 68 992","resolved","yihao 68 992","yihao 68 992"
"163","V0326005","Vivo 3/4 Sleeve Short Blazer in Kitenge","Kitenge","","unresolved","",""
"164","V0626062","Vivo Shawl Collar Blazer in Crepe","Yihao 68 992/Lining Huaming 1801/50D","","unresolved","","yihao 68 992"
"165","V0626026","Vivo Sleeveless Coat in Ponte","????","","unresolved","",""
"166","V0526060","Vivo Sleeveless Lined Blazer in Kitenge","Kitenge","","unresolved","",""
"167","V0526038","Vivo Studio Strappy Jacket in Crepe","Hong Xin 3030","hong xin 3030","resolved","hong xin 3030","hong xin 3030"
"168","V0826050","Vivo Basic A Line Dress Block (Woven)","","","unresolved","",""
"169","S0626019","Safari By Vivo Balloon Sleeve Shirt in Linen Blend","","","unresolved","",""
"170","V0526041","Vivo Dolman Sweater (Ken Knit)","Acrylic","","unresolved","",""
"171","V0826030","Vivo Dolman Sweater in Rib","","","unresolved","",""
"172","V0526042","Vivo Knit Tank Top (Ken Knit)","Acrylic","","unresolved","",""
"178","V0526056","Vivo Drop Shouder Dress in Crepe (Etsy Sleeveless Wrap Dress)","","","unresolved","",""
"179","V0526001","Vivo Short Sleeve Midi Dress in Cotton","YIYI Y933 Light Cotton Poplin","yiyi y933","resolved","yiyi y933","yiyi y933"
