Florence,Mary,Florence,Mary,Mary,Mary,Mary,Florence,Florence,Florence,Mary,,Mary,Florence,Florence,,Marion,Chantal,Marion,,,,,,Mary,Amos,,,Mary,Mary,Florence,,Mary,Mary,,Mary,Mary
Style No.,Image,Style Name,Type,Status,Category,Sub Category,Adoption Date,Florence,EDD - Sample,Target Order Week,Target Launch Week,Actual Order Date,Sample Approval Date,Sample Approval Week,CAD Transfer Date,Tech Pack/Requisition Date,Set Sample Mini Marker,Set Sample Order Date,Set Sample Receipt Date,Set Sample Approval Date,Set Sample Approval Week,Date Transferred to Buying,Actual Order Week,Planned Launch Week,Actual Launch Date,Theme,Collection Name,Fabric Type,P / S,Brand,,Fabric Name,Sample Colour,,S/S Approval,Exp Order Date
S0626019,,Safari By Vivo Balloon Sleeve Shirt in Linen Blend,NEW,SAMPLE REVIEW,Tops,Loose & Oversized Tops,10-Jun-2026,Wanjohi,,,,,,,,,,,,,,,,,,,SBV,Linen Blend,,Safari by Vivo,,,Dark Green,,,
S0226012,,Safari By Vivo Barrel Pants in Cotton (Relaxed Barrel Jeans ETSY),NEW,SAMPLING,Bottoms,Full Length Pants,6-May-2026,Wanjohi,,WK 37,WK 40,,,,,,,,,,,,,,,,,Heavy Cotton,solid,SBV,,YIYI Y760 Medium Cotton Twill,Rust,,,
S0826036,,Safari by Vivo Boho Dress in Kitenge ( ETSY),NEW,PATTERN,Dresses,Maxi Dresses,25-Aug-2026,Florence,,WK 40,WK 43,,,,,,,,,,,,,,,,,,,Safari by Vivo,,Sample in Tanzania Kitenge,,,,
S0526028,,Safari by Vivo Coat in Kitenge,NEW,TRANSFER TO CAD,Outerwear,Jackets & Coats,,Florence,,WK 37,WK 40,,27-Aug-2026,WK 36,,,,,,,,,,,,,SBV,Medium Cotton Kitenge,Print,Safari by Vivo,,ANNINGTEX Kitenge ,,,,
S0626074,,Safari By Vivo Cocoon Dress in Linen Blend,NEW,PATTERN,Dresses,Midi & Capri Dresses,26-Jun-2026,Mercy,WK 30,WK 41,WK 44,,24-Jul-2026,WK 30,,,,,,,,,,,,Resort,SBV,Light Cotton Twill,Solid,Safari by Vivo,,XINHENGSHENG 1623 Light Cotton Twill,Defective light cotton,,,
S0726037,,Safari By Vivo Cocoon Top in Linen Blend,NEW,PATTERN,Tops,Loose & Oversized Tops,26-Jun-2026,Mercy,,WK 39,WK 42,,,,,,,,,,,,,,,Resort,SBV,Linen Blend,Solid,Safari by Vivo,,XUEGUI 2317 Light Linen Blend,Defective light cotton,,,
S0626064,,Safari by Vivo Contrast Stitch Top in Linen Blend ,NEW,SAMPLE REVIEW,Tops,Loose & Oversized Tops,22-Jun- 2026,Victoria,,WK 37,WK 40,, ,,,,,,,,,,,,,Casual,SBV,Light Linen Blend,Solid,Safari by Vivo,,Xuegui 2317,Navy,,,
S0726002,,Safari by Vivo Front Pleat Loose Shirt in Linen Blend,NEW,PATTERN,Tops,Loose & Oversized Tops,3-Jun-2026,Mercy,,WK 40,WK 43,,,,,,,,,,,,,,,Casual,SBV,Light Cotton Twill,Solid,Safari by Vivo,,XINHENGSHENG 1623 Light Cotton Twill,Defective light cotton,,,
S0826034,,Safari by Vivo Midi Dress in Linen (ETSY),NEW,PATTERN,Dresses,Knee Length Dresses,25-Aug-2026,Florence,,WK 40,WK 43,,,,,,,,,,,,,,,,,,,Safari by Vivo,,Sample in Tanzania Kitenge,,,,
S0626071,,Safari by Vivo Nimali Top in Kitenge,RR,SAMPLE REVIEW,Tops,Loose & Oversized Tops,24-Jun-2026,CAD,,WK 37,WK 40,,31-Jul-2026,WK 31,,,,,,,,,,,,,SBV,Medium Cotton Kitenge,Print,Safari by Vivo,,ANNINGTEX Kitenge,Eastleigh Kitenge scraps,,,
S0526098,,Safari by Vivo Off Shoulder Tiered Maxi Dress in Cotton,NEW,SET SAMPLING,Dresses,Midi & Capri Dresses,28-May-2026,Wanjohi,,WK 37,WK 40,,20-Aug-2026,WK 34,21-Aug-2026,,,,,,,,,,,,SBV,Medium Cotton,Solid,Safari by Vivo,,YIYI N272,,,,
V0826012,,Safari by Vivo Off-Shoulder Maxi Dress in Cotton,RR,SET SAMPLING,Dresses,Maxi Dresses,23-Jul-2026,CAD,,WK 36,WK 39,,,,,,,,,,,,,,,,,Medium Cotton Twill,Solid,Safari by Vivo,,Minglei 810,,,,
S0726044,,Safari by Vivo Oversized Jacket in Twill  (Zoe Jacket ETSY),NEW,PATTERN,Outerwear,Jackets & Coats,22-Jul-2026,Mercy,,WK 38,WK 41,,27-Aug-2026,WK 36,,,,,,,,,,,,,,Heavy Cotton Twill,Solid,Safari by Vivo,,WAN HEXIN Kata Tiao -Dark Green,,,,
S0726009,,Safari By Vivo Panelled Barrel Pants in Linen Blend,NEW,TRANSFER TO CAD,Bottoms,Full Length Pants,6-Jul- 2026,Florence,,WK 37,WK 40,,27-Aug-2026,WK 35,,,,,,,,,,,,Resort,SBV,Linen Blend,Solid,Safari By Vivo,,AMDHIR Light Linen Blend,Eastleigh kitenge/Mustard,,,
V0626079,,Safari by Vivo Panelled Oversized Short Sleeve Top in Linen,NEW,CAD PROCESSING SS,Tops,Loose & Oversized Tops,26-Jun-2026,Victoria,,WK 37,WK 40,,27-Aug-2026,WK 35,,,,,,,,,,,,,Vivo,Light Cotton Poplin,Solid,Vivo,,Linen,Dark Tan,,,
S0626053,,Safari By Vivo Ruffle Sleeve Top in Cotton,NEW,PATTERN,Tops,Loose & Oversized Tops,22-Jun- 2026,Mercy,,WK 41,WK 44,,,,,,,,,,,,,,,,SBV,Light Cotton,Solid,Safari by Vivo,,YIYI N272,YIYI 7294 - purple,,,
V0626082,,Safari by Vivo Short Sleeved Top in Cotton,NEW,TRANSFER TO CAD,Tops,Loose & Oversized Tops,26-Jun-2026,Florence,,WK 37,WK 40,,27-Aug-2026,WK 35,,,1-Sep-2026,1-Sep-2026,,,,,,,,,Vivo,Light Cotton Poplin,Solid,Vivo  ,,YIYI N272,Brown,,,
S0826014,,Safari by Vivo Sleeveless Front Zip Jumpsuit in Cotton (Etsy Front Zip Jumpsuit),NEW,SAMPLE REVIEW,Bottoms,Jumpsuits & Playsuits ,5-Aug-2026,CAD,,WK 38,WK 41,,,,,,,,,,,,,,,,,Medium Cotton Twill,,Safari by Vivo,,SHUNYUAN 1728 Medium Cotton Twill,,,,
