store,country,sku,style_name,subcategory,brand,style_number,current_price,cost,current_margin_pct,last_sale_date,days_since_last_sale,clearance_tier,discounted_price,discounted_margin_pct,units_available,projected_revenue_kes
WHFIN/Stock,Kenya,V0126037LILM,Vivo Basic Knee Length Dress In Chiffon,Knee Length Dresses,Vivo,V0126037,5500.0,1224.1600000000005,77.7,2026-03-21,101,Tier 1 (3M) — 10-15%,4813,74.6,30.0,144375
WHFIN/Stock,Kenya,V0925053BLAS,Vivo Studio 2-piece in Mixed Media,Skirts & Top Set,Vivo,V0925053,6900.0,2264.14,67.2,2026-03-20,102,Tier 1 (3M) — 10-15%,6038,62.5,13.0,78488
WHFIN/Stock,Kenya,V0925053ORAS,Vivo Studio 2-piece in Mixed Media,Skirts & Top Set,Vivo,V0925053,6900.0,2264.14,67.2,2026-02-27,123,Tier 1 (3M) — 10-15%,6038,62.5,12.0,72450
WHFIN/Stock,Kenya,V0925053ORAL,Vivo Studio 2-piece in Mixed Media,Skirts & Top Set,Vivo,V0925053,6900.0,2264.1400000000003,67.2,2026-02-12,138,Tier 1 (3M) — 10-15%,6038,62.5,12.0,72450
WHFIN/Stock,Kenya,V0725025SEGM/L,Vivo Cap Sleeve Salma Maxi Dress,Maxi Dresses,Vivo,V0725025,5900.0,1388.7,76.5,2026-02-02,148,Tier 1 (3M) — 10-15%,5163,73.1,13.0,67113
WHFIN/Stock,Kenya,V0625047NAFUXS/S,Vivo Iyana Maxi Cover Up,Maxi Dresses,Vivo,V0625047,6500.0,2684.19,58.7,2026-02-05,145,Tier 1 (3M) — 10-15%,5688,52.8,9.0,51188
WHFIN/Stock,Kenya,V0825025RUS2X,Vivo Anavi Maxi Dress In Jersey,Maxi Dresses,Vivo,V0825025,6500.0,1930.7,70.3,2026-03-03,119,Tier 1 (3M) — 10-15%,5688,66.1,8.0,45500
WHFIN/Stock,Kenya,V0625047BLREXS/S,Vivo Iyana Maxi Cover Up,Maxi Dresses,Vivo,V0625047,6500.0,2684.189999999999,58.7,2026-03-24,98,Tier 1 (3M) — 10-15%,5688,52.8,8.0,45500
WHFIN/Stock,Kenya,V0524192MUS1X,Vivo Basic Short Sleeve Top,T-shirts & Tank Tops,Vivo,V0524192,2500.0,595.07,76.2,2026-02-06,144,Tier 1 (3M) — 10-15%,2188,72.8,20.0,43750
WHFIN/Stock,Kenya,V0719290DTNXS/S,Vivo Basic Extra Long Lily Waterfall,Waterfalls & Kimonos,Vivo,V0719290,5500.0,1613.11,70.7,2026-03-25,97,Tier 1 (3M) — 10-15%,4813,66.5,9.0,43313
