Product Name,Color,Location,Country,Units Available
Vivo Basic Double Layered Wrap Poncho - Black,Black,The Oasis Mall,Uganda,5
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Acacia,Uganda,5
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Garden City,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Kigali Heights,Rwanda,3
Vivo Basic Double Layered Wrap Poncho - Black,Black,Finished Goods Production,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo City Mall,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Kisumu,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Nakuru,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Black,Black,Online - Shop Zetu,Online,2
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Kileleshwa,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Meru,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Black,Black,Vivo Signature Mall,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Vivo Meru,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Vivo Signature Mall,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Finished Goods Production,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Vivo City Mall,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Vivo Junction,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Green,Dark Green,Vivo Yaya,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Online - Shop Zetu,Online,8
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Acacia,Uganda,7
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Kisumu,Kenya,5
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,The Oasis Mall,Uganda,5
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Nakuru,Kenya,4
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Sarit,Kenya,4
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo City Mall,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Garden City,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Greenspan,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Junction,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Kigali Heights,Rwanda,3
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Galleria,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Hub,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Imaara,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Mama Ngina St,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Moi Avenue,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Runda,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Signature Mall,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo TRM,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Two Rivers,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Finished Goods Production,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo MSA Digo Road,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Vivo Village Market,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Dark Red,Dark Red,Warehouse Finished Goods,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Kisumu,Kenya,4
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo T- Mall,Kenya,4
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Galleria,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Greenspan,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo MSA Digo Road,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Signature Mall,Kenya,3
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo City Mall,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Imaara,Kenya,2
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Junction,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Meru,Kenya,1
Vivo Basic Double Layered Wrap Poncho - Fuschia,Fuschia,Vivo Nakuru,Kenya,1
