Style,Brand,Colour,Size,SKU,Price (KES),Online SOH,Last Online Sale,Online Units (4w),Online Units (lifetime)
Safari 3/4 Sleeve Maxi Kimono With Headwrap,Safari,Mustard / Cream Print,L/1X,S0625014PR1L/1X,6400.0,1,never,0,0
Safari 3/4 Sleeve Maxi Kimono With Headwrap,Safari,Mustard / Cream Print,S/M,S0625014PR1S/M,6400.0,1,never,0,0
Safari 3/4 Sleeve Maxi Kimono With Headwrap,Safari,Off White / Navy Print,S/M,S0625014PR2S/M,4450.0,1,never,0,0
Safari Anga Puffy Short Sleeve Tie Top,Safari,Lime Green / Black Ankara Print,M,S0623056PR7M,650.0,1,never,0,0
Safari Anga Puffy Short Sleeve Tie Top,Safari,Navy Blue / Yellow Ankara Print,M,S0623056PR8M,960.0,3,2026-05-01,0,1
Safari Anga Puffy Short Sleeve Tie Top,Safari,Navy Blue / Yellow Ankara Print,S,S0623056PR8S,960.0,3,never,0,0
Safari Anga Wide Shorts,Safari,Black / White Ankara Print,S,S0623073PR4S,1500.0,5,never,0,0
Safari Anga Wide Shorts,Safari,Green / Orange Print,S,S0623073PR6S,1050.0,1,never,0,0
Safari Anga Wide Shorts,Safari,Navy Blue / Orange Ankara Print,S,S0623073PR1S,1050.0,1,2026-02-25,0,1
Safari Basic Shirt Tent Dress,Safari,Coral,S,S0623047CORS,5250.0,1,never,0,0
Safari Basic Shirt Tent Dress,Safari,Taupe,L,S0623047TAUL,5250.0,1,never,0,0
Safari Basic Shirt Tent Dress,Safari,Taupe,M,S0623047TAUM,5250.0,1,2026-02-03,0,1
Safari Basic Shirt Tent Dress,Safari,Taupe,S,S0623047TAUS,5250.0,1,2026-05-20,0,1
Safari Bush 3/4 Sleeve Top,Safari,Hunters,1X,S0424061HGN1X,750.0,1,2026-05-19,0,6
Safari Bush 3/4 Sleeve Top,Safari,Hunters,L,S0424061HGNL,750.0,1,2026-05-10,0,15
Safari Bush Drawstring Shorts,Safari,Black,M,S0424082BLAM,1650.0,1,2025-11-07,0,4
Safari Bush Drop Shoulder Long Sleeve Top,Safari,Hunters Green,M/L,S0424064HGNM/L,2000.0,1,2026-02-22,0,18
Safari Bush Drop Shoulder Long Sleeve Top,Safari,Hunters Green,XS/S,S0424064HGNXS/S,2000.0,1,2025-07-19,0,7
Safari Bush Drop Shoulder Long Sleeve Top,Safari,Mustard,1X/2X,S0424064MUS1X/2X,1750.0,2,2026-03-13,0,2
Safari Bush Drop Shoulder Long Sleeve Top,Safari,Mustard,M/L,S0424064MUSM/L,1750.0,2,2026-03-17,0,4
Safari Bush Men's Long Sleeve T-shirt,Safari,Grey,1X,S0724020GRY1X,650.0,1,2026-05-03,0,3
Safari Bush Men's Long Sleeve T-shirt,Safari,Hunters Green,2X,S0724020HGN2X,1600.0,1,2024-12-27,0,2
Safari Bush Men's Long Sleeve T-shirt,Safari,Hunters Green,3X,S0724020HGN3X,1600.0,2,2024-12-30,0,1
Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,White / Navy Print,1X,S0925062PR11X,5400.0,1,never,0,0
Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,White / Navy Print,L,S0925062PR1L,5400.0,1,never,0,0
Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,White / Navy Print,M,S0925062PR1M,5400.0,1,never,0,0
Safari By Vivo Mens Cotton Long Sleeve Shirt,Safari,White / Navy Print,S,S0925062PR1S,5400.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Khaki Green,1X,S0925061KGRN1X,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Khaki Green,L,S0925061KGRNL,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Khaki Green,M,S0925061KGRNM,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Khaki Green,S,S0925061KGRNS,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Navy Blue,1X,S0925061NBLU1X,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Navy Blue,L,S0925061NBLUL,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Navy Blue,M,S0925061NBLUM,4800.0,1,never,0,0
Safari By Vivo Mens Cotton Pants,Safari,Navy Blue,S,S0925061NBLUS,4800.0,2,never,0,0
Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,White / Black Print,1X,S0925060PR11X,4400.0,2,never,0,0
Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,White / Black Print,L,S0925060PR1L,4400.0,4,never,0,0
Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,White / Black Print,M,S0925060PR1M,4400.0,5,never,0,0
Safari By Vivo Mens Cotton Short Sleeve Shirt,Safari,White / Black Print,S,S0925060PR1S,4400.0,2,never,0,0
Safari By Vivo Mens Cotton Shorts,Safari,Dark Grey,L,S0925059DGRYL,3400.0,1,never,0,0
Safari By Vivo Mens Cotton Shorts,Safari,Dark Grey,M,S0925059DGRYM,3400.0,3,never,0,0
Safari By Vivo Mens Cotton Shorts,Safari,Dark Grey,S,S0925059DGRYS,3400.0,2,never,0,0
