Category,Subcategory,Total Sales (KES),SOR %,Qty Sold,% Qty,Total SOH,% Total SOH,Stores SOH,% Stores SOH,W/H SOH,W/H % SOH
Dresses,Knee Length Dresses,17228940,33.0,3271,16.47,10593,16.09,6643,17.28,3950,14.42
Tops,Loose Tops,12107866,38.4,2977,14.99,8010,12.17,4780,12.43,3230,11.79
Bottoms,Full Length Pants,11162249,34.1,2536,12.77,8868,13.47,4909,12.77,3959,14.45
Dresses,Maxi Dresses,12279768,41.2,1976,9.95,4550,6.91,2822,7.34,1728,6.31
,(Unclassified),6733850,70.7,1550,7.80,2120,3.22,643,1.67,1477,5.39
Outerwear,Sweaters & Ponchos,6537019,36.0,1282,6.45,3509,5.33,2278,5.92,1231,4.49
Tops,Fitted Tops,4292794,27.3,1261,6.35,5936,9.02,3361,8.74,2575,9.40
Outerwear,Waterfalls & Kimonos,4467596,31.7,1079,5.43,4237,6.43,2328,6.05,1909,6.97
Tops,T-shirts & Tank Tops,1271686,31.1,752,3.79,2353,3.57,1666,4.33,687,2.51
Dresses,Midi & Capri Dresses,3579330,28.6,592,2.98,2584,3.92,1477,3.84,1107,4.04
Bottoms,Leggings,1182098,35.7,468,2.36,1314,2.00,844,2.19,470,1.72
Outerwear,Jackets & Coats,1563284,39.5,369,1.86,820,1.25,564,1.47,256,0.93
Tops,Midriff & Crop Tops,773740,26.4,351,1.77,1249,1.90,979,2.55,270,0.99
Bottoms,Jumpsuits & Playsuits,1984917,30.0,308,1.55,1081,1.64,717,1.86,364,1.33
Tops,Bodysuits,747586,25.1,278,1.40,1868,2.84,831,2.16,1037,3.79
Skirts,Knee Length Skirts,634765,16.9,213,1.07,1848,2.81,1050,2.73,798,2.91
Dresses,Short & Mini Dresses,1040699,26.7,193,0.97,1212,1.84,531,1.38,681,2.49
Accessories,Accessories,366465,17.6,163,0.82,940,1.43,763,1.98,177,0.65
Bottoms,Shorts & Skorts,248016,31.8,104,0.52,558,0.85,223,0.58,335,1.22
Skirts,Maxi Skirts,397721,21.4,86,0.43,611,0.93,315,0.82,296,1.08
Outerwear,Hoodies & Sweatshirts,95500,14.5,25,0.13,314,0.48,147,0.38,167,0.61
Skirts,Midi & Capri Skirts,45728,5.7,15,0.08,607,0.92,250,0.65,357,1.30
Two-Piece Sets,Skirts & Top Set,39553,71.4,5,0.03,29,0.04,2,0.01,27,0.10
Sale,Sample & Sale Items,17700,1.9,5,0.03,380,0.58,255,0.66,125,0.46
Accessories,Scarves,3250,4.4,3,0.02,236,0.36,65,0.17,171,0.62
Bottoms,Culottes & Capri Pants,1450,14.3,1,0.01,8,0.01,6,0.02,2,0.01
Two-Piece Sets,Pants & Top Set,0,0.0,0,0.00,9,0.01,4,0.01,5,0.02
TOTAL,,88803570,34.1,19863,100.00,65844,100.00,38453,100.00,27391,100.00
