Category,Subcategory,Total Sales (KES),SOR %,Qty Sold,% Qty,Total SOH,% Total SOH,Stores SOH,% Stores SOH,W/H SOH,W/H % SOH
Tops,Loose Tops,13229940,42.5,3540,15.12,8012,12.16,4782,12.43,3230,11.79
Bottoms,Full Length Pants,13815286,39.8,3248,13.87,8874,13.47,4915,12.77,3959,14.45
Dresses,Knee Length Dresses,15678257,31.6,3073,13.13,10597,16.09,6647,17.28,3950,14.42
Dresses,Maxi Dresses,13660260,43.2,2147,9.17,4551,6.91,2823,7.34,1728,6.31
Outerwear,Sweaters & Ponchos,8860966,45.3,1887,8.06,3510,5.33,2279,5.92,1231,4.49
Outerwear,Waterfalls & Kimonos,7406562,42.0,1685,7.20,4239,6.44,2330,6.06,1909,6.97
Tops,Fitted Tops,5342295,31.1,1516,6.48,5936,9.01,3361,8.74,2575,9.40
Tops,Midriff & Crop Tops,2064150,47.7,893,3.81,1250,1.90,980,2.55,270,0.99
Tops,T-shirts & Tank Tops,1573697,33.8,853,3.64,2354,3.57,1667,4.33,687,2.51
Bottoms,Leggings,1782465,45.9,717,3.06,1315,2.00,845,2.20,470,1.72
Dresses,Midi & Capri Dresses,3356177,27.9,572,2.44,2585,3.92,1478,3.84,1107,4.04
Bottoms,Jumpsuits & Playsuits,3598481,43.5,553,2.36,1081,1.64,717,1.86,364,1.33
,(Unclassified),1823802,42.3,473,2.02,2121,3.22,644,1.67,1477,5.39
Outerwear,Jackets & Coats,2083572,45.3,468,2.00,820,1.24,564,1.47,256,0.93
Skirts,Knee Length Skirts,883204,22.3,302,1.29,1848,2.81,1050,2.73,798,2.91
Tops,Bodysuits,750572,25.7,288,1.23,1868,2.84,831,2.16,1037,3.79
Skirts,Maxi Skirts,1113524,43.1,239,1.02,611,0.93,315,0.82,296,1.08
Dresses,Short & Mini Dresses,1224557,30.9,237,1.01,1212,1.84,531,1.38,681,2.49
Outerwear,Hoodies & Sweatshirts,953605,60.7,229,0.98,315,0.48,148,0.38,167,0.61
Accessories,Accessories,361351,21.8,213,0.91,940,1.43,763,1.98,177,0.65
Skirts,Midi & Capri Skirts,534577,27.7,96,0.41,607,0.92,250,0.65,357,1.30
Sale,Sample & Sale Items,237630,25.4,87,0.37,380,0.58,255,0.66,125,0.46
Bottoms,Shorts & Skorts,144617,24.9,74,0.32,558,0.85,223,0.58,335,1.22
Accessories,Scarves,16320,22.6,19,0.08,236,0.36,65,0.17,171,0.62
Two-Piece Sets,Pants & Top Set,9057,33.3,2,0.01,9,0.01,4,0.01,5,0.02
Bottoms,Culottes & Capri Pants,1450,14.3,1,0.00,8,0.01,6,0.02,2,0.01
Two-Piece Sets,Skirts & Top Set,9519,33.3,1,0.00,29,0.04,2,0.01,27,0.10
TOTAL,,100515893,37.8,23413,100.00,65866,100.00,38475,100.00,27391,100.00
