Category,Subcategory,Total Sales (KES),SOR %,Qty Sold,% Qty,Total SOH,% Total SOH,Stores SOH,% Stores SOH,W/H SOH,W/H % SOH
Bottoms,Full Length Pants,12892858,34.9,2998,14.24,9522.0,13.57,5604.0,12.77,3918.0,14.93
Dresses,Knee Length Dresses,14405930,25.5,2823,13.41,12071.0,17.21,8261.0,18.82,3810.0,14.51
Tops,Loose Tops,8671206,36.5,2280,10.83,6346.0,9.05,3969.0,9.04,2377.0,9.06
Dresses,Maxi Dresses,13823133,37.4,2148,10.21,5477.0,7.81,3603.0,8.21,1874.0,7.14
Tops,Fitted Tops,6846184,29.3,1953,9.28,8125.0,11.58,4707.0,10.72,3418.0,13.02
Outerwear,Sweaters & Ponchos,8296620,39.4,1770,8.41,3994.0,5.69,2728.0,6.21,1266.0,4.82
Outerwear,Waterfalls & Kimonos,6609963,35.7,1487,7.07,4974.0,7.09,2680.0,6.11,2294.0,8.74
Tops,Midriff & Crop Tops,1977374,39.0,909,4.32,1694.0,2.42,1423.0,3.24,271.0,1.03
Tops,T-shirts & Tank Tops,1798924,28.4,896,4.26,3187.0,4.54,2262.0,5.15,925.0,3.52
Dresses,Midi & Capri Dresses,4603631,27.9,784,3.73,3401.0,4.85,2025.0,4.61,1376.0,5.24
Bottoms,Leggings,1736858,41.9,694,3.30,1430.0,2.04,961.0,2.19,469.0,1.79
Bottoms,Jumpsuits & Playsuits,3527046,37.7,531,2.52,1218.0,1.74,877.0,2.00,341.0,1.30
Outerwear,Jackets & Coats,2046614,40.6,441,2.10,901.0,1.28,646.0,1.47,255.0,0.97
Skirts,Knee Length Skirts,855004,19.8,285,1.35,2005.0,2.86,1152.0,2.62,853.0,3.25
Tops,Bodysuits,642024,19.2,244,1.16,2035.0,2.90,1029.0,2.34,1006.0,3.83
Dresses,Short & Mini Dresses,1247080,27.0,221,1.05,1230.0,1.75,597.0,1.36,633.0,2.41
Skirts,Maxi Skirts,1020985,31.2,215,1.02,800.0,1.14,474.0,1.08,326.0,1.24
Outerwear,Hoodies & Sweatshirts,889924,54.1,211,1.00,346.0,0.49,179.0,0.41,167.0,0.64
Skirts,Midi & Capri Skirts,495495,19.4,87,0.41,665.0,0.95,361.0,0.82,304.0,1.16
Bottoms,Shorts & Skorts,125594,15.4,62,0.29,705.0,1.01,341.0,0.78,364.0,1.39
Bottoms,Culottes & Capri Pants,31821,30.4,7,0.03,18.0,0.03,16.0,0.04,2.0,0.01
