Category,Subcategory,Total Sales (KES),SOR %,Qty Sold,% Qty,Total SOH,% Total SOH,Stores SOH,% Stores SOH,W/H SOH,W/H % SOH
Tops,"Bodysuits","1,060,562",32.9%,"397",1.70%,"1,817",2.90%,"811",2.22%,"1,006",3.83%
Bottoms,"Culottes & Capri Pants","8,700",46.2%,"6",0.03%,"9",0.01%,"7",0.02%,"2",0.01%
Tops,"Fitted Tops","7,899,598",37.3%,"2,325",9.98%,"7,322",11.67%,"3,904",10.70%,"3,418",13.02%
Bottoms,"Full Length Pants","15,613,644",43.6%,"3,610",15.49%,"8,584",13.68%,"4,666",12.79%,"3,918",14.93%
Outerwear,"Hoodies & Sweatshirts","716,776",53.7%,"168",0.72%,"312",0.50%,"145",0.40%,"167",0.64%
Outerwear,"Jackets & Coats","1,835,327",43.8%,"435",1.87%,"814",1.30%,"559",1.53%,"255",0.97%
Bottoms,"Jumpsuits & Playsuits","4,595,683",48.6%,"694",2.98%,"1,075",1.71%,"734",2.01%,"341",1.30%
Dresses,"Knee Length Dresses","18,593,888",34.4%,"3,571",15.33%,"10,620",16.93%,"6,810",18.66%,"3,810",14.51%
Skirts,"Knee Length Skirts","864,353",22.6%,"290",1.24%,"1,844",2.94%,"991",2.72%,"853",3.25%
Bottoms,"Leggings","1,127,559",34.6%,"443",1.90%,"1,307",2.08%,"838",2.30%,"469",1.79%
Tops,"Loose Tops","9,546,070",43.7%,"2,527",10.85%,"5,627",8.97%,"3,250",8.91%,"2,377",9.06%
Dresses,"Maxi Dresses","16,775,291",47.3%,"2,682",11.51%,"4,859",7.74%,"2,985",8.18%,"1,874",7.14%
Skirts,"Maxi Skirts","668,419",30.5%,"149",0.64%,"666",1.06%,"340",0.93%,"326",1.24%
Dresses,"Midi & Capri Dresses","5,943,362",37.7%,"1,021",4.38%,"3,064",4.88%,"1,688",4.63%,"1,376",5.24%
Skirts,"Midi & Capri Skirts","483,695",23.4%,"94",0.40%,"612",0.98%,"308",0.84%,"304",1.16%
Tops,"Midriff & Crop Tops","723,304",24.7%,"412",1.77%,"1,524",2.43%,"1,253",3.43%,"271",1.03%
Dresses,"Short & Mini Dresses","2,187,268",45.5%,"378",1.62%,"1,086",1.73%,"453",1.24%,"633",2.41%
Bottoms,"Shorts & Skorts","252,478",31.8%,"103",0.44%,"585",0.93%,"221",0.61%,"364",1.39%
Outerwear,"Sweaters & Ponchos","9,186,110",44.0%,"1,874",8.04%,"3,655",5.83%,"2,389",6.55%,"1,266",4.82%
Tops,"T-shirts & Tank Tops","2,370,683",35.7%,"1,082",4.64%,"2,870",4.57%,"1,945",5.33%,"925",3.52%
Outerwear,"Waterfalls & Kimonos","4,371,010",32.1%,"1,038",4.46%,"4,488",7.15%,"2,194",6.01%,"2,294",8.74%
TOTAL,,"104,823,780",38.97%,"23,299",100.00%,"62,740",100.00%,"36,491",100.00%,"26,249",100.00%
