barcode,sku,product_name,style_name,style_number,product_type,category,price,warehouse_available,online_available,suggested_online_alloc,flag
60068186,V0526012BLAS/M,Vivo Dolman Sweater in Rib - Black,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,227.0,0,3,WAREHOUSE NOT ONLINE
60043176,V0421160RBLAS,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,121.0,0,3,WAREHOUSE NOT ONLINE
60019525,V0623042BLAS/M,Vivo Cowl Neck Knit Sweater - Black,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,112.0,0,3,WAREHOUSE NOT ONLINE
60068187,V0526012BLAL/1X,Vivo Dolman Sweater in Rib - Black,Vivo Dolman Sweater in Rib,V0526012,Sweaters & Ponchos,Outerwear,3900.0,111.0,0,3,WAREHOUSE NOT ONLINE
60043802,V0623042IVOS/M,Vivo Cowl Neck Knit Sweater - Ivory,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,84.0,0,3,WAREHOUSE NOT ONLINE
60056587,V0623042PLUS/M,Vivo Cowl Neck Knit Sweater - Plum,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019521,V0623042WHIS/M,Vivo Cowl Neck Knit Sweater - White,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019896,V0623042RUSS/M,Vivo Cowl Neck Knit Sweater - Rust,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60019523,V0623042MUSS/M,Vivo Cowl Neck Knit Sweater - Mustard,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,84.0,0,3,WAREHOUSE NOT ONLINE
60043177,V0421160RBLAM,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,81.0,0,3,WAREHOUSE NOT ONLINE
60066385,V1025034BLAM,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,69.0,0,3,WAREHOUSE NOT ONLINE
60066386,V1025034BLAL,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,67.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DBRF,Vivo Ruched Maxi Top in Textured Satin - Dark Brown,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,64.0,0,3,WAREHOUSE NOT ONLINE
60043178,V0421160RBLAL,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,59.0,0,3,WAREHOUSE NOT ONLINE
50005755,V0421160NABS,Vivo Basic Leggings - Navy Blue,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,58.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DOLF,Vivo Ruched Maxi Top in Textured Satin - Dark Olive,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,56.0,0,3,WAREHOUSE NOT ONLINE
40014807,V0819010REDS/M,Vivo Basic Imelda Cowl Sweater - Red,Vivo Basic Imelda Cowl Sweater,V0819010,Sweaters & Ponchos,Outerwear,3900.0,56.0,0,3,WAREHOUSE NOT ONLINE
40007724,V0819102RUSF,Vivo Basic Double Layered Wrap Poncho - Rust,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,54.0,0,3,WAREHOUSE NOT ONLINE
,V0126011NAVF,Vivo Ruched Maxi Top in Textured Satin - Navy Blue,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,53.0,0,3,WAREHOUSE NOT ONLINE
,V0126011TAUF,Vivo Ruched Maxi Top in Textured Satin - Taupe,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,53.0,0,3,WAREHOUSE NOT ONLINE
,V0126011RUSF,Vivo Ruched Maxi Top in Textured Satin - Rust,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,51.0,0,3,WAREHOUSE NOT ONLINE
50008542,V0819102DREDF,Vivo Basic Double Layered Wrap Poncho - Dark Red,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,51.0,0,3,WAREHOUSE NOT ONLINE
,V0126011DRDF,Vivo Ruched Maxi Top in Textured Satin - Dark Red,Vivo Ruched Maxi Top in Textured Satin,V0126011,Loose Tops,Tops,0.0,51.0,0,3,WAREHOUSE NOT ONLINE
60052606,V0225008PR3F,Vivo Ayah Hijab Headwrap - White / Orange Ullu Print,Vivo Ayah Hijab Headwrap,V0225008,Scarves,Accessories,900.0,49.0,0,3,WAREHOUSE NOT ONLINE
60019526,V0623042BLAL/XL,Vivo Cowl Neck Knit Sweater - Black,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,48.0,0,3,WAREHOUSE NOT ONLINE
60066514,S1125031RUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Rust,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,47.0,0,3,WAREHOUSE NOT ONLINE
60066513,S1125031LBEIF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Light Beige,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,46.0,0,3,WAREHOUSE NOT ONLINE
60066384,V1025034BLAS,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,45.0,0,3,WAREHOUSE NOT ONLINE
60066511,S1125031FUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Fuschia,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,45.0,0,3,WAREHOUSE NOT ONLINE
60067698,V0226036PR2M,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,44.0,0,3,WAREHOUSE NOT ONLINE
60067699,V0226036PR2L,Vivo Sierra Sleeveless Double Layered Top in Chiffon - White / Chocolate Arah Print,Vivo Sierra Sleeveless Double Layered Top in Chiffon,V0226036,Fitted Tops,Tops,2900.0,43.0,0,3,WAREHOUSE NOT ONLINE
60067058,VS0426001,Vivo Dresses - Sample 17,Sample & Sale Items,Sample & Sale Items,Sample & Sale Items,Sale,3950.0,43.0,0,3,WAREHOUSE NOT ONLINE
60066387,V1025034BLA1X,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Vivo Lulu Contrast Stitch Tent Dress in Cotton,V1025034,Knee Length Dresses,Dresses,5900.0,43.0,0,3,WAREHOUSE NOT ONLINE
60066512,S1125031LOLIF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Light Olive,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,41.0,0,3,WAREHOUSE NOT ONLINE
60043179,V0421160RBLA1X,Vivo Basic Leggings in Rayon - Black,Vivo Basic Leggings,V0421160,Leggings,Bottoms,2500.0,40.0,0,3,WAREHOUSE NOT ONLINE
60062127,S1125031MUSF,Safari by Vivo Zehra Extra Wide Shirt in Linen - Mustard,Safari by Vivo Zehra Extra Wide Shirt in Linen,S1125031,Loose Tops,Tops,5400.0,36.0,0,3,WAREHOUSE NOT ONLINE
60043803,V0623042IVOL/XL,Vivo Cowl Neck Knit Sweater - Ivory,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,36.0,0,3,WAREHOUSE NOT ONLINE
60056588,V0623042PLUL/1X,Vivo Cowl Neck Knit Sweater - Plum,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,3850.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019522,V0623042WHIL/XL,Vivo Cowl Neck Knit Sweater - White,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019897,V0623042RUSL/XL,Vivo Cowl Neck Knit Sweater - Rust,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60027747,V0722064CBROS/M,Vivo Long Sleeve Midi Waterfall - Chocolate Brown,Vivo Long Sleeve Midi Waterfall,V0722064,Waterfalls & Kimonos,Outerwear,6550.0,36.0,0,3,WAREHOUSE NOT ONLINE
60019524,V0623042MUSL/XL,Vivo Cowl Neck Knit Sweater - Mustard,Vivo Cowl Neck Knit Sweater,V0623042,Sweaters & Ponchos,Outerwear,5550.0,36.0,0,3,WAREHOUSE NOT ONLINE
40007723,V0819102MUSF,Vivo Basic Double Layered Wrap Poncho - Mustard,Vivo Basic Double Layered Wrap Poncho,V0819102,Sweaters & Ponchos,Outerwear,5550.0,34.0,0,3,WAREHOUSE NOT ONLINE
