Order Ref,Order ID,Gross Total,Discount,Returns,Net Total (net of discount+returns)
Hub/0773 REFUND,28473,0,0,6500,-6500
Junction/0687 REFUND,19060,4200,0,4200,0
Junction/0771 REFUND,20024,5900,0,5900,0
Junction/1015,18987,14000,0,0,14000
Junction/1016,18996,3500,0,0,3500
Junction/1017,18998,4900,0,0,4900
Junction/1018,19020,12600,0,0,12600
Junction/1019,19039,10800,0,0,10800
Junction/1020,19050,6500,0,0,6500
Junction/1021,19085,3500,0,0,3500
Junction/1022,19092,15900,0,0,15900
Junction/1023,19108,11000,0,0,11000
Junction/1024,19141,5500,0,0,5500
Junction/1025,19146,6700,0,0,6700
Junction/1026,19175,16500,0,0,16500
Junction/1027,19176,3900,0,0,3900
Junction/1028,19179,4900,0,0,4900
Junction/1029,19200,14500,0,0,14500
Junction/1030,19238,30700,0,0,30700
Junction/1031,19240,7700,0,0,7700
Junction/1032,19242,2900,0,0,2900
Junction/1033,19267,4900,0,0,4900
Junction/1034,19270,6700,0,0,6700
Junction/1035,19276,25200,0,0,25200
Junction/1036,19286,37700,0,0,37700
Junction/1037,19305,5900,0,0,5900
Junction/1038,19351,8800,0,0,8800
Junction/1039,19374,6700,0,0,6700
Junction/1040,19380,3500,0,0,3500
Junction/1041,19391,5500,0,0,5500
Junction/1042,19429,14000,0,0,14000
Junction/1043,19448,20000,0,0,20000
Junction/1044,19454,1200,0,0,1200
Junction/1045,19458,11000,0,0,11000
Junction/1046,19490,6400,0,0,6400
Junction/1047,19509,17450,0,0,17450
Junction/1048,19521,5900,0,0,5900
Junction/1049,19522,12200,0,0,12200
Junction/1050,19524,3900,0,0,3900
Junction/1051,19526,4500,0,0,4500
Junction/1052,19555,21400,0,0,21400
Junction/1053,19556,10050,0,0,10050
Junction/1054,19585,10100,0,0,10100
Junction/1055,19611,14600,0,0,14600
Junction/1056,19613,7800,0,0,7800
Junction/1057,19662,6500,0,0,6500
Junction/1058,19670,32100,0,0,32100
Junction/1059,19679,3500,0,0,3500
Junction/1060,19704,6900,0,0,6900
Junction/1061,19708,12100,0,0,12100
Junction/1062,19714,5550,0,0,5550
Junction/1063,19730,5550,0,0,5550
Junction/1064,19734,13700,0,0,13700
Junction/1065,19737,7800,0,0,7800
Junction/1066,19744,3900,0,0,3900
Junction/1067,19748,1400,0,0,1400
Junction/1068,19757,6500,0,0,6500
Junction/1069,19769,5550,0,0,5550
Junction/1070,19771,12900,0,0,12900
Junction/1071,19778,5500,0,0,5500
Junction/1072,19796,5550,0,0,5550
Junction/1073,19802,11000,0,0,11000
Junction/1074,19824,6900,0,0,6900
Junction/1075,19837,8700,0,0,8700
Junction/1076,19841,36750,0,0,36750
Junction/1077,19882,12600,0,0,12600
Junction/1078,19883,4200,0,0,4200
Junction/1079,19884,7000,0,0,7000
Junction/1080,19907,6900,0,0,6900
Junction/1081,19914,4500,0,0,4500
Junction/1082,19915,19350,0,0,19350
Junction/1083,19931,6750,0,0,6750
Junction/1084,19934,7000,0,0,7000
Junction/1085,19941,3200,0,0,3200
Junction/1086,19954,4700,0,0,4700
Junction/1087,19972,8000,0,0,8000
Junction/1088,19985,9400,0,0,9400
Junction/1089,20001,5500,0,0,5500
Junction/1090,20008,10050,0,0,10050
Junction/1091,20009,3900,0,0,3900
Junction/1092,20018,25300,0,0,25300
Junction/1093,20020,4500,0,0,4500
Junction/1094,20025,8100,0,0,8100
Junction/1095,20034,8400,0,0,8400
Junction/1096,20037,5500,0,0,5500
Junction/1097,20050,2500,0,0,2500
Junction/1098,20062,33000,0,0,33000
Junction/1099,20072,3900,0,0,3900
Junction/1100,20073,8000,0,0,8000
Junction/1101,20074,7200,0,0,7200
Junction/1102,20093,2000,0,0,2000
Junction/1103,20099,6650,0,0,6650
Junction/1104,20133,6400,0,0,6400
Junction/1105,20137,3500,0,0,3500
Junction/1106,20157,2200,0,0,2200
Junction/1107,20160,8400,0,0,8400
Junction/1108,20186,11400,0,0,11400
Junction/1109,20199,5550,0,0,5550
Junction/1110,20200,5900,0,0,5900
Junction/1111,20206,5550,0,0,5550
Junction/1112,20223,5550,0,0,5550
Junction/1113,20228,9000,0,0,9000
Junction/1114,20237,11500,0,0,11500
Junction/1115,20247,3900,0,0,3900
Junction/1116,20249,5550,0,0,5550
Junction/1117,20257,13900,0,0,13900
Junction/1118,20259,4900,0,0,4900
Junction/1119,20309,16200,0,0,16200
Junction/1120,20354,3600,0,0,3600
Junction/1121,20398,3900,0,0,3900
Junction/1122,20434,8000,0,0,8000
Junction/1123,20436,11400,0,0,11400
Junction/1124,20444,3900,0,0,3900
Junction/1125,20462,4900,0,0,4900
Junction/1126,20517,9400,0,0,9400
Junction/1127,20528,3900,0,0,3900
Junction/1128,20544,23500,0,0,23500
Junction/1129,20548,3000,0,0,3000
Junction/1130,20616,17200,0,0,17200
Junction/1131,20619,3900,0,0,3900
Junction/1132,20626,9800,0,0,9800
Junction/1134,20630,15200,0,0,15200
Junction/1135,20639,17900,0,0,17900
Junction/1136,20675,6900,0,0,6900
Junction/1136 REFUND,20681,0,0,6900,-6900
Junction/1137,20683,6900,0,0,6900
Junction/1138,20684,3500,0,0,3500
Junction/1139,20686,6900,0,0,6900
Junction/1140,20705,23400,0,0,23400
Junction/1141,20707,2500,0,0,2500
Junction/1142,20733,11100,0,0,11100
Junction/1143,20741,3500,0,0,3500
Junction/1144,20744,12000,0,0,12000
Junction/1145,20745,4200,0,0,4200
Junction/1146,20761,4900,0,0,4900
Junction/1147,20810,2900,0,0,2900
Junction/1148,20815,6500,0,0,6500
Junction/1149,20827,6900,0,0,6900
Junction/1150,20835,17300,0,0,17300
Junction/1151,20839,12300,0,0,12300
Junction/1152,20848,4500,0,0,4500
Junction/1153,20859,3900,0,0,3900
Junction/1154,20912,12800,0,0,12800
Junction/1155,20924,6700,0,0,6700
Junction/1156,20945,11600,0,0,11600
Junction/1157,20953,6400,0,0,6400
Junction/1158,20960,8100,0,0,8100
Junction/1159,20965,6800,0,0,6800
Junction/1160,20989,6700,0,0,6700
Junction/1161,20995,3900,0,0,3900
Junction/1162,21006,23500,0,0,23500
Junction/1163,21023,41400,0,0,41400
Junction/1164,21031,6400,0,0,6400
Junction/1165,21038,14000,0,0,14000
Junction/1166,21042,4900,0,0,4900
Junction/1167,21052,12900,0,0,12900
Junction/1168,21078,6700,0,0,6700
Junction/1169,21127,13900,0,0,13900
Junction/1170,21128,6700,0,0,6700
Junction/1171,21130,22850,0,0,22850
Junction/1172,21143,4900,0,0,4900
Junction/1173,21153,14300,0,0,14300
