brand,missing,product_name
"Safari","both","Safari Bush Asymmetrical Sweater Poncho  - FS"
"Safari","both","Safari By Vivo Mens Cotton Pants  - FS"
"Safari","both","Safari Full Length Pants - Sample 2"
"Safari","both","Safari Jumpsuit - Sample 1"
"Safari","both","Safari Kamari Sleeveless Cropped Jacket  - FS"
"Safari","both","Safari Kaya Long Sleeve Collar Shirt  - FS"
"Safari","both","Safari Knee Length Dress - SAMPLE 1"
"Safari","both","Safari Long Sleeve Waterfall  - FS"
"Safari","both","Safari Lounge Pants  - FS"
"Safari","both","Safari Lounge Pants  - FS"
"Safari","both","Safari Lounge Pants In Jersey  - FS"
"Safari","both","Safari Midi & Capri Skirts - SAMPLE 1"
"Safari","both","Safari Mini Dress - SAMPLE 1"
"Safari","both","Safari Mini Skirts - Sample1"
"Safari","both","Safari Nazari Bubble Midi Dress  - FS"
"Safari","both","Safari Nazari Coat Dress  - FS"
"Safari","both","Safari Nazari Maxi Shirt Dress  - FS"
"Safari","both","Safari Nazari Three Tiered Maxi Dress  - FS"
"Safari","both","Safari Njano Men's Straight Leg Pants  - FS"
"Safari","both","Safari Savannah Men's Jacket  - FS"
"Safari","both","Safari Solana Bubble Midi Skirt in Cotton  - FS"
"Safari","both","Safari Tafari High Slit Kimono  - FS"
"Safari","both","Safari Tafari Off Shoulder Crop Top  - FS"
"Safari","both","Safari Tiwa Reversible Tie Kimono  - FS"
"Safari","both","Safari by Vivo Cotton Wrap Dress  - FS"
"Safari","both","Safari by Vivo Mansi Wide Hem Embroidered Tent Dress  - FS"
"Safari","both","Safari by Vivo Njano Drawstring Top in Cotton  - FS"
"Safari","both","Safari by Vivo Tiwa Wide Leg Pants in Linen  - FS"
"Safari","both","Safari by Vivo Wide Kaftan in Cotton  - FS"
"Safari","both","Safari by Vivo Zehra Barrel Pants  - FS"
"Safari","both","Safari by Vivo Zehra Cotton High Low Shirt  - FS"
"Safari","both","Safari by Vivo Zehra Drawstring Pants  - FS"
"Safari","both","Safari by Vivo Zehra Embroidered Linen Kimono  - FS"
"Safari","both","Safari by Vivo Zehra Embroidered Linen Kimono - FS"
"Safari","both","Safari by Vivo Zehra Extra Wide Shirt in Linen  - FS"
"Safari","both","Safari by Vivo Zehra Kitenge Pants  - FS"
"Safari","both","Safari by Vivo Zehra Kitenge Short Kimono  - FS"
"Safari","both","Safari by Vivo Zehra Kitenge Shorts  - FS"
"Safari","both","Safari by Vivo Zehra Sleeveless Boxy Top  - FS"
"Safari","both","Safari by Vivo Zehra Tie Waist Kimono Dress  - FS"
"Vivo","both","Vivo Adisa V-Neck Jumpsuit Kaftan  - FS"
"Vivo","both","Vivo Ajani Long Sleeve Top  - FS"
"Vivo","both","Vivo Ajani V-Neck Top  - FS"
"Vivo","both","Vivo Alek Shirred Off Shoulder Jumpsuit in Crepe  - FS"
"Vivo","both","Vivo Alek Shirred Off- Shoulder Jumpsuit In Crepe  - FS"
