Search Name,Odoo Template ID,External Ref (default_code),Odoo Product Name,Status,Tier
Safari Zene Tiered Above Knee Dress,89812,False,Safari Zene Tiered Above Knee Dress - Beige,,
Safari Zene Tiered Above Knee Dress,89816,False,Safari Zene Tiered Above Knee Dress - Mustard,,
Safari Zene Tiered Above Knee Dress,89818,False,Safari Zene Tiered Above Knee Dress - Sample,,
Vivo  Tanda A-Line Maxi Dress,NOT FOUND,,,,
Vivo Basic Bodycon,197090,False,Vivo Basic Bodycon - Ombre,,
Vivo Basic Bodycon,197096,False,Vivo Basic Bodycon Dress - Light Grey,,
Vivo Basic Bodycon,197106,False,Vivo Basic Bodycon Dress - Sample,,
Vivo Basic Double Layered Long Sleeved Bodysuit,223014,False,Vivo Basic Double Layered Long Sleeved Bodysuit - Dark Green,,
Vivo Basic Double Layered Long Sleeved Bodysuit,223015,False,Vivo Basic Double Layered Long Sleeved Bodysuit - Deep Teal,Retired,Retired
Vivo Basic Double Layered Long Sleeved Bodysuit,223016,False,Vivo Basic Double Layered Long Sleeved Bodysuit - Green,Retired,Retired
Vivo Basic Knee Length Dress In Chiffon,342635,False,Vivo Basic Knee Length Dress In Chiffon  - FS,,
Vivo Basic Knee Length Dress In Chiffon,330581,False,Vivo Basic Knee Length Dress In Chiffon - Black / Cream Print   ,Retired,Retired
Vivo Basic Knee Length Dress In Chiffon,330584,False,Vivo Basic Knee Length Dress In Chiffon - Black / White Print  ,Retired,Retired
Vivo Basic Long Sleeved Double Layered Bodycon,342476,False,Vivo Basic Long Sleeved Double Layered Bodycon  - FS,,
Vivo Basic Long Sleeved Double Layered Bodycon,343105,False,Vivo Basic Long Sleeved Double Layered Bodycon - Black,Retired,Retired
Vivo Basic Long Sleeved Double Layered Bodycon,223779,False,Vivo Basic Long Sleeved Double Layered Bodycon - Burgundy,Retired,Retired
Vivo Basic May Jersey Waterfall,223856,V0220053BURL/XL,Vivo Basic May Jersey Waterfall - Burgundy,Retired,Retired
Vivo Basic May Jersey Waterfall,223858,False,Vivo Basic May Jersey Waterfall - Dark Green,Retired,Retired
Vivo Basic May Jersey Waterfall,223860,False,Vivo Basic May Jersey Waterfall - Forest Green,Retired,Retired
Vivo Basic Open Kaftan,342621,False,Vivo Basic Open Kaftan  - FS,,
Vivo Basic Open Kaftan,238793,V0223225PR22F,Vivo Basic Open Kaftan - Black / White Print,Retired,Retired
Vivo Basic Open Kaftan,272232,V0223225PR26F,Vivo Basic Open Kaftan - Light Green / Dark Green Print,Retired,Retired
Vivo Basic Tulip Sweater,239984,False,Vivo Basic Tulip Sweater - Chocolate,,
Vivo Basic Tulip Sweater,305102,V0819126DNAXS,Vivo Basic Tulip Sweater - Dark Navy,Retired,Retired
Vivo Basic Tulip Sweater,239986,False,Vivo Basic Tulip Sweater - Dark Teal,,
Vivo Chela Drawstring Shorts,230016,V0225025BLAM,Vivo Chela Drawstring Shorts - Black,Retired,Retired
Vivo Chela Drawstring Shorts,230017,False,Vivo Chela Drawstring Shorts - Light Taupe,Retired,Retired
Vivo Chela Drawstring Shorts,230018,False,Vivo Chela Drawstring Shorts - Royal Blue,Retired,Retired
Vivo Cowl Neck Knit Sweater,230212,False,Vivo Cowl Neck Knit Sweater - Black,Retired,Retired
Vivo Cowl Neck Knit Sweater,342888,False,Vivo Cowl Neck Knit Sweater - Ivory,Retired,Retired
Vivo Cowl Neck Knit Sweater,230214,False,Vivo Cowl Neck Knit Sweater - Mustard,Active,Core Performer
Vivo Diella 3/4 Sleeve Pleated Dress,195459,False,Vivo Diella 3/4 Sleeve Pleated Dress - Black,Active,
Vivo Diella 3/4 Sleeve Pleated Dress,195460,False,Vivo Diella 3/4 Sleeve Pleated Dress - Mulberry,Active,
Vivo Diella 3/4 Sleeve Pleated Dress,308453,False,Vivo Diella 3/4 Sleeve Pleated Dress SD - Mulberry,Retired,Retired
Vivo Diella Wide Leg Pants in Crepe,195468,False,Vivo Diella Wide Leg Pants in Crepe - Black,Retired,Core Performer
Vivo Diella Wide Leg Pants in Crepe,343018,False,Vivo Diella Wide Leg Pants in Crepe - Dark Olive,Retired,Retired
Vivo Diella Wide Leg Pants in Crepe,343017,False,Vivo Diella Wide Leg Pants in Crepe - Gold,Retired,Retired
Vivo Essi Wide Leg Pants in Satin,342453,False,Vivo Essi Wide Leg Pants In Satin  - FS,,
Vivo Essi Wide Leg Pants in Satin,342979,False,Vivo Essi Wide Leg Pants In Satin  - FS,,
Vivo Essi Wide Leg Pants in Satin,305159,False,Vivo Essi Wide Leg Pants In Satin - Fuschia,Retired,Retired
Vivo Everyday Cap Sleeve Top in Jersey,342325,False,Vivo Everyday Cap Sleeve Top in Jersey  - FS,,
Vivo Everyday Cap Sleeve Top in Jersey,343627,False,Vivo Everyday Cap Sleeve Top in Jersey - Army Green,Active,NOOS
Vivo Everyday Cap Sleeve Top in Jersey,240052,False,Vivo Everyday Cap Sleeve Top in Jersey - Black,Active,NOOS
Vivo Iyana Cape Top,342482,False,Vivo Iyana Cape Top  - FS,,
Vivo Iyana Cape Top,252865,V0625049GREF,Vivo Iyana Cape Top - Green,Retired,Retired
Vivo Iyana Cape Top,272526,V0625049HUNF,Vivo Iyana Cape Top - Hunters,Retired,Retired
Vivo Izzy Satin Bishop Sleeve Top,252924,False,Vivo Izzy Satin Bishop Sleeve Top - Black,Retired,Retired
Vivo Izzy Satin Bishop Sleeve Top,252925,False,Vivo Izzy Satin Bishop Sleeve Top - Black / White Abstract Print,,
Vivo Izzy Satin Bishop Sleeve Top,252926,False,Vivo Izzy Satin Bishop Sleeve Top - Black Yoyo,Retired,Retired
Vivo Kemi Skirt & Top Set,342409,False,Vivo Kemi Skirt & Top Set  - FS,,
Vivo Kemi Skirt & Top Set,305258,False,Vivo Kemi Skirt & Top Set - Black,,
Vivo Kemi Skirt & Top Set,272615,False,Vivo Kemi Skirt & Top Set - Black,Active,
Vivo Knee length Dress,342471,False,Vivo Knee Length Dress  - FS,,
Vivo Knee length Dress,254989,V0720039SAM1,Vivo Knee Length Dress - SAMPLE1,Active,
Vivo Knee length Dress,254991,V0720039SAM3,Vivo Knee Length Dress - SAMPLE3,Active,
Vivo Lena Slim Fit Pants in Pinstripe,272734,False,Vivo Lena Slim Fit Pants in Pinstripe - Black / White Stripes,Retired,Retired
Vivo Lena Slim Fit Pants in Pinstripe,341102,False,Vivo Lena Slim Fit Pants in Pinstripe - Black / White Thin Stripes ,Retired,Retired
Vivo Liora Wide Leg Pants,342348,False,Vivo Liora Wide Leg Pants  - FS,,
Vivo Liora Wide Leg Pants,272757,False,Vivo Liora Wide Leg Pants - Coral / Navy Ziza Print,Active,
Vivo Liora Wide Leg Pants,318527,False,Vivo Liora Wide Leg Pants - Hunters,,
Vivo Lulu Contrast Stitch Tent Dress in Cotton,342336,False,Vivo Lulu Contrast Stitch Tent Dress in Cotton  - FS,,
Vivo Lulu Contrast Stitch Tent Dress in Cotton,334072,False,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Black,Active,
Vivo Lulu Contrast Stitch Tent Dress in Cotton,334073,False,Vivo Lulu Contrast Stitch Tent Dress in Cotton - Hunters,Active,
Vivo Maisha Drop Shoulder Maxi Dress In Rayon,342550,False,Vivo Maisha Drop Shoulder Maxi Dress In Rayon  - FS,,
Vivo Maisha Drop Shoulder Maxi Dress In Rayon,318543,False,Vivo Maisha Drop Shoulder Maxi Dress In Rayon - Black / Cream Print,,
Vivo Maisha Drop Shoulder Maxi Dress In Rayon,305488,False,Vivo Maisha Drop Shoulder Maxi Dress In Rayon - Black / Cream Print,Retired,Retired
Vivo Maisha Straight Leg Pants in Crepe,305511,False,Vivo Maisha Straight Leg Pants In Crepe -  Beige / Black Abstract Print,Active,
Vivo Maisha Straight Leg Pants in Crepe,305512,False,Vivo Maisha Straight Leg Pants In Crepe -  Grey / Black Abstract Print,Active,
