id,name,active,default_code,barcode,categ_id,product_variant_count,x_vivo_attr_18,x_style_number_text,x_studio_style_name_gi,x_vivo_attr_16,x_style_name_text,x_vivo_attr_97,x_vivo_attr_99,x_colour_way_sku_text,x_vivo_attr_112,x_studio_fabric_ref,x_studio_brand,x_vivo_attr_22,x_studio_categories,x_vivo_categories,x_studio_fab_100,x_vivo_attr_100,x_studio_fab_101,x_vivo_attr_101,x_studio_fab_102,x_vivo_attr_102,x_studio_fab_103,x_vivo_attr_103,x_studio_fab_124,x_vivo_attr_124,x_studio_fab_125,x_vivo_attr_125,x_studio_fab_25,x_vivo_attr_25,x_studio_fab_38,x_vivo_attr_38,x_studio_fab_43,x_vivo_attr_43,x_studio_fab_48,x_vivo_attr_48,x_vivo_duplicate_key,x_vivo_duplicate_cleanup_state
345087,Black Sublimation Ink - Fedar (ml),True,105456,105456,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345206,Black Sublimation Ink - Reggiani (ml),True,130000003,130000003,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345089,Cyan Sublimation Ink - Fedar (ml),True,105457,105457,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345208,Cyan Sublimation Ink - Reggiani (ml),True,130000005,130000005,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245868,General office supplies (Services),True,,,3||9. Expenses,1,,,,,,59958||Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345091,Magenta Sublimation Ink - Fedar (ml),True,105458,105458,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345209,Magenta Sublimation Ink - Reggiani (ml),True,130000006,130000006,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345138,Protective Paper 1.62m*1100m,True,130000001,130000001,19||03. Accessories & Trims,1,,,,,,59958||Active,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341415,Sublimation Paper 1.62m*200m,True,50018642,50018642,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345176,Sublimation Paper 1.80m(W)*200m(L),True,130000002,130000002,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345090,Yellow Sublimation Ink - Fedar (ml),True,105459,105459,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345207,Yellow Sublimation Ink - Reggiani (ml),True,130000004,130000004,19||03. Accessories & Trims,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
