Odoo ID,Odoo Link,Product Name,Style Name,Style Number,Status,Fabric Barcode,Fabric Plain/Print,Fabric Source Country,Fabric Source City,Fabric Structure,Fabric Category,Fabric Sub-Category,Fabric Primary Color,Fabric Width (m),Fabric GSM,Supplier Fabric Code,Supplier Fabric Colour Code
345154,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=345154,test products 123456789,3/4 Sleeve Bodysuit,1020001,Archived,[302123] YIYI 8340 - Navy Blue,Plain,China,Hangzhou,Woven,Nylon,Light Nylon,Blue,1.5,140,YIYI 8340,
345078,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=345078,10% on products,,,Active,,,,,,,,,,,,
343947,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343947,10% on specific products,,,Active,,,,,,,,,,,,
341581,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=341581,15% on specific products,,,Active,Vivo Orange Bag - Fabric,Plain,,,,,,,,,,
344890,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=344890,15% on your order,,,Active,,,,,,,,,,,,
333686,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=333686,2000 KSh on specific products,,,Active,,,,,,,,,,,,
343112,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343112,3/4 Sleeve Bodysuit - Black,3/4 Sleeve Bodysuit,N/A,Archived,,,,,,,,,,,,
343828,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=343828,99% on specific products,,,Active,,,,,,,,,,,,
304674,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=304674,Alladin Wrangler Long Sleeve T-Shirt - 100% Polyester - Navy Blue,Alladin Wrangler Long Sleeve T-Shirt - 100% Polyester,N/A,Archived,,,,,,,,,,,,
58804,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=58804,Anika Assymetrical Thick Strap Top - Baby Pink,Anika Assymetrical Thick Strap Top,N/A,Archived,,,,,,,,,,,,
58825,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=58825,Anika Corduroy Side Slit Mini Skirt - Purple,Anika Corduroy Side Slit Mini Skirt,N/A,Archived,,,,,,,,,,,,
58829,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=58829,Anika Double Layer Tank - Black,Anika Double Layer Tank,N/A,Archived,,,,,,,,,,,,
304676,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=304676,Anika Infinity Neck Open Back Maxi Dress - Teal,Anika Infinity Neck Open Back Maxi Dress,N/A,Archived,,,,,,,,,,,,
304677,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=304677,Anika Long Sleeved Sweater Top With Halter Neck Design-White,Anika Long Sleeved Sweater Top With Halter Neck Design,N/A,Archived,,,,,,,,,,,,
58872,https://vivofashiongroup.odoo.com/web#model=product.template&view_type=form&id=58872,Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt - Grey,Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt,N/A,Archived,,,,,,,,,,,,
