Style Name,Style Number,Location,Units Available
Safari Bush Drop Shoulder Long Sleeve Top,S0424064,Online - Shop Zetu,6
Safari Bush Drop Shoulder Long Sleeve Top,S0424064,Retired Stock,21.0
Safari Bush Drop Shoulder Long Sleeve Top,S0424064,Warehouse Finished Goods,2.0
Safari Bush Drop Shoulder Long Sleeve Top,S0424064,Zoya Sarit,5.0
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Online - Shop Zetu,4
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Retired Stock,4.0
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Safari Sarit,2.0
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Vivo Village Market,7.0
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,Zoya Sarit,8.0
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Online - Shop Zetu,13
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Retired Stock,4.0
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Vivo Village Market,4.0
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Warehouse Finished Goods,2.0
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,Zoya Sarit,6.0
Safari Chui Cropped Jacket,S1024007,Online - Shop Zetu,9
Safari Chui Cropped Jacket,S1024007,Retired Stock,2.0
Safari Chui Cropped Jacket,S1024007,Zoya Sarit,5.0
Safari Chui Lined Jacket,S1024005,Online - Shop Zetu,10
Safari Chui Lined Jacket,S1024005,Retired Stock,6.0
Safari Chui Lined Jacket,S1024005,Safari Sarit,3.0
Safari Chui Lined Jacket,S1024005,Warehouse Finished Goods,1.0
Safari Chui Lined Jacket,S1024005,Zoya Sarit,6.0
Safari Kamari Capri Cargo Pants,S0224195,Online - Shop Zetu,14
Safari Kamari Capri Cargo Pants,S0224195,Retired Stock,4.0
Safari Kamari Capri Cargo Pants,S0224195,The Oasis Mall,1
Safari Kamari Capri Cargo Pants,S0224195,Vivo Moi Avenue,1.0
Safari Kamari Capri Cargo Pants,S0224195,Vivo Yaya,1.0
Safari Kamari Capri Cargo Pants,S0224195,Warehouse Finished Goods,2.0
Safari Kamari Capri Cargo Pants,S0224195,Zoya Sarit,2.0
Safari Kamari Drop Shoulder Top,S0224189,Online - Shop Zetu,12
Safari Kamari Drop Shoulder Top,S0224189,Retired Stock,3.0
Safari Kamari Drop Shoulder Top,S0224189,Warehouse Finished Goods,4.0
Safari Kamari Drop Shoulder Top,S0224189,Zoya Sarit,2.0
Safari Kamari Front Slit Midi Skirt,S0424080,Online - Shop Zetu,16
Safari Kamari Front Slit Midi Skirt,S0424080,Retired Stock,11.0
Safari Kamari Front Slit Midi Skirt,S0424080,Vivo Moi Avenue,1.0
Safari Kamari Front Slit Midi Skirt,S0424080,Warehouse Finished Goods,4.0
Safari Kamari Front Slit Midi Skirt,S0424080,Zoya Sarit,4.0
Safari Kamari Long Sleeve Drawstring Shacket,S0224181,Online - Shop Zetu,10
Safari Kamari Long Sleeve Drawstring Shacket,S0224181,Retired Stock,9.0
Safari Kamari Long Sleeve Drawstring Shacket,S0224181,Zoya Sarit,2.0
Safari Kamari Ribbed Top,S0424073,Online - Shop Zetu,11
Safari Kamari Ribbed Top,S0424073,Retired Stock,11.0
Safari Kamari Ribbed Top,S0424073,Vivo City Mall,1.0
Safari Kamari Ribbed Top,S0424073,Warehouse Finished Goods,4.0
Safari Kamari Ribbed Top,S0424073,Zoya Sarit,5.0
Safari Mali Bishop Sleeve Shirt Dress,S0223180,Online - Shop Zetu,9
Safari Mali Bishop Sleeve Shirt Dress,S0223180,Retired Stock,5.0
Safari Mali Bishop Sleeve Shirt Dress,S0223180,Vivo Kigali Heights,1
Safari Mali Bishop Sleeve Shirt Dress,S0223180,Zoya Sarit,15.0
Safari Mali Bishop Sleeve Tent Dress,S0223179,Online - Shop Zetu,4
Safari Mali Bishop Sleeve Tent Dress,S0223179,Retired Stock,2.0
Safari Mali Bishop Sleeve Tent Dress,S0223179,Zoya Sarit,6.0
Safari Mara Shirred Bishop Sleeve Dress,S1022008,Online - Shop Zetu,10
Safari Mara Shirred Bishop Sleeve Dress,S1022008,Retired Stock,7.0
Safari Mara Shirred Bishop Sleeve Dress,S1022008,Safari Sarit,2.0
Safari Mara Shirred Bishop Sleeve Dress,S1022008,Zoya Sarit,3.0
Safari Men's Bomber Jacket,S0424035,Online - Shop Zetu,5
Safari Men's Bomber Jacket,S0424035,Retired Stock,9.0
Safari Men's Bomber Jacket,S0424035,Warehouse Finished Goods,1.0
Safari Men's Bomber Jacket,S0424035,Zoya Sarit,7.0
Safari Men's Cargo Pants,S0424047,Online - Shop Zetu,5
Safari Men's Cargo Pants,S0424047,Retired Stock,4.0
Safari Men's Cargo Pants,S0424047,Warehouse Finished Goods,1.0
