sku,product_name,style_name,style_number,brand,product_type,price,price_source,retired_qty
S1023060HUNM,Safari Zene Off Shoulder Top - Hunters,Safari Zene Off Shoulder Top,S1023060,Safari,Loose Tops,3550,catalog,46
V0622002PINL,Vivo Basic Drop Shoulder Top - Pink,Vivo Basic Drop Shoulder Top,V0622002,Vivo,Loose Tops,950,catalog,43
V0825012NAVM,Vivo Nora Front Slit Knee Length Skirt - Navy - BLUE / V0825012 / M,Vivo Nora Front Slit Knee Length Skirt,V0825012,Vivo,Knee Length Skirts,3500,odoo,17
V0920021OLIL,Vivo Basic Tolani Dress in Jersey - Olive,Vivo Basic Tolani Jersey Dress,V0920021,Vivo,Knee Length Dresses,4900,catalog,16
V0825009NAVS,Vivo Nora 3/4 Sleeve Peplum Top - Navy - NAVY / V0825009 / S,Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Vivo,Loose Tops,2900,odoo,13
V0424116NABM,Vivo X This Is Essential Raceback Bralette - Navy Blue - NAVY BLUE / V0424116 / M,Vivo X This Is Essential Raceback Bralette,V0424116,Vivo,Bodysuits,1500,odoo,13
V0425056DAOL,Vivo Diella 3/4 Sleeve A-Line Dress - Dark Olive,Vivo Diella 3/4 Sleeve A-Line Dress,V0425056,Vivo,Knee Length Dresses,4500,catalog,12
V0423056TEALL,Vivo Leila 3/4 Sleeve Tent Knee Length Dress - Teal,Vivo Leila 3/4 Sleeve Tent Knee Length Dress,V0423056,Vivo,Knee Length Dresses,4950,catalog,12
V0822077CHBL,Vivo Tana Puff Sleeve Bodysuit - Chocolate Brown,Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo,Bodysuits,2700,catalog,12
V0822077DGNL,Vivo Tana Puff Sleeve Bodysuit - Dark Green,Vivo Tana Puff Sleeve Bodysuit,V0822077,Vivo,Bodysuits,2700,catalog,12
V0920021OLIM,Vivo Basic Tolani Dress in Jersey - Olive,Vivo Basic Tolani Jersey Dress,V0920021,Vivo,Knee Length Dresses,4900,catalog,11
V0621001WIRM,Vivo J.O V-Neck Sheath Dress - Wine Red,Vivo J.O V-Neck Sheath Dress,V0621001,Vivo,Knee Length Dresses,4250,catalog,10
V0325043PR3M,Vivo Kelemi 4.0 Sleeveless Top - Navy / Mustard Nashe Print,Vivo Kelemi 4.0 Sleeveless Top,V0325043,Vivo,Fitted Tops,1450,catalog,9
V0622041PR7F,Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top - Black Stripes,Vivo Mistari 3/4 Sleeve V,V0622041,Vivo,Loose Tops,3550,catalog,9
S0224195WHIM,Safari Kamari Capri Cargo Pants - White,Safari Kamari Capri Cargo Pants,S0224195,Safari,Culottes & Capri Pants,4750,catalog,8
S1023060RUSM,Safari Zene Off Shoulder Top - Rust,Safari Zene Off Shoulder Top,S1023060,Safari,Loose Tops,1050,catalog,8
S0625017LIMM,Shiv & Shikie X Safari Short Sleeve Shirt - Lime,Shiv & Shikie X Safari Short Sleeve Shirt,S0625017,Third Party Brands,Loose Tops,4800,catalog,8
V0325021BLAS,Vivo Basic Jeggings - Black,Vivo Basic Jeggings,V0325021,Vivo,Full Length Pants,3550,catalog,8
V1019045PR22F,Vivo Basic Liv Chiffon Top - White / Black Print,Vivo Basic Liv Chiffon Top,V1019045,Vivo,Loose Tops,1150,catalog,8
V0920021FUSL,Vivo Basic Tolani Dress in Jersey - Fuschia,Vivo Basic Tolani Jersey Dress,V0920021,Vivo,Knee Length Dresses,4900,catalog,8
V0621001NABS,Vivo J.O V-Neck Sheath Dress - Navy Blue,Vivo J.O V-Neck Sheath Dress,V0621001,Vivo,Knee Length Dresses,4250,catalog,8
V0825014BLAM,Vivo Nora Front Pleat Knee Length Dress - Black,Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo,Knee Length Dresses,2250,catalog,8
V0325007BLAS,Vivo Safa Skirt - Black - BLACK / V0325007 / S,Vivo Safa Skirt,V0325007,Vivo,Knee Length Skirts,2950,odoo,8
V0823158REDXXS,Vivo X This Is Essential  Sleeveless Scooped Neck Bodysuit - Red - RED / V0823158 / XXS,Vivo X This Is Essential  Sleeveless Scooped Neck Bodysuit,V0823158,Vivo,Bodysuits,1950,odoo,8
S0424064MUSXS/S,Safari Bush Drop Shoulder Long Sleeve Top - Mustard,Safari Bush Drop Shoulder Long Sleeve Top,S0424064,Safari,T-shirts & Tank Tops,1750,catalog,7
S1024005WHICS,Safari Chui Lined Jacket - White Cloud,Safari Chui Lined Jacket,S1024005,Safari,Jackets & Coats,8950,catalog,7
S0424145KHAM,Safari Men's Long Sleeve Shirt - Khaki,Safari Men's Long Sleeve Shirt,S0424145,Safari,Loose Tops,1250,catalog,7
S0825039WHIS,Safari Solana Bubble Midi Skirt in Cotton - White,Safari Solana Bubble Midi Skirt in Cotton,S0825039,Safari,Midi & Capri Skirts,5800,catalog,7
S0625017LIMS,Shiv & Shikie X Safari Short Sleeve Shirt - Lime,Shiv & Shikie X Safari Short Sleeve Shirt,S0625017,Third Party Brands,Loose Tops,4800,catalog,7
V0225031DARM,Vivo Ayah Satin Pants - Dark Red,Vivo Ayah Satin Pants,V0225031,Vivo,Full Length Pants,3950,catalog,7
V0622002MUSL,Vivo Basic Drop Shoulder Top - Mustard,Vivo Basic Drop Shoulder Top,V0622002,Vivo,Loose Tops,2550,catalog,7
V0321017TEA1X,Vivo Basic Sleeveless Sienna Waterfall - Teal,Vivo Basic Sleeveless Sienna Waterfall,V0321017,Vivo,Waterfalls & Kimonos,2250,catalog,7
V0825009REDM,Vivo Nora 3/4 Sleeve Peplum Top - Red - RED / V0825009 / M,Vivo Nora 3/4 Sleeve Peplum Top,V0825009,Vivo,Loose Tops,2900,odoo,7
V0825014BLAS,Vivo Nora Front Pleat Knee Length Dress - Black,Vivo Nora Front Pleat Knee Length Dress,V0825014,Vivo,Knee Length Dresses,2250,catalog,7
V0125047PR1L,Vivo Seli Strappy Tent Top - White / Black Esli Print,Vivo Seli Strappy Tent Top,V0125047,Vivo,Loose Tops,750,catalog,7
V0823154CHOCXXS,Vivo X This Is Essential  Sleeveless High Neck Bodysuit - Chocolate - CHOCOLATE / V0823154 / XXS,Vivo X This Is Essential  Sleeveless High Neck Bodysuit,V0823154,Vivo,Bodysuits,2250,odoo,7
V0823155WHI2X,Vivo X This Is Essential Strappy Bodysuit - White - WHITE / V0823155 / 2X,Vivo X This Is Essential Strappy Bodysuit,V0823155,Vivo,Bodysuits,2250,odoo,7
