product_name,barcode,sku,price,retired_qty
Vivo Basic Drop Shoulder Top - Pink,60054366,V0622002PINM,950,83
Vivo Nuru Maxi Kimono - Black,60060257,V0725020BLAF,5500,57
Vivo Nuru Maxi Kimono - Maroon,60060258,V0725020MARF,5500,51
Safari Zene Off Shoulder Top - Hunters,60054299,S1023060HUNM,3550,46
Vivo Basic Drop Shoulder Top - Pink,60054367,V0622002PINL,950,43
Vivo Basic Drop Shoulder Top - Pink,60054365,V0622002PINS,950,32
Vivo Alma Short Sleeve Mini Bodycon - Lime,60060313,V0825060LIMM,3500,26
Vivo Basic Sleeveless Tent Kimono - Baby Blue,60047168,V1024064BBLUF,1950,22
Vivo Nora Front Slit Knee Length Skirt - Purple,60058537,V0825012PURM,3500,22
Vivo Waridi Sleeveless Overcoat - Navy Blue,40017071,V1020056NABS,3950,22
Vivo Basic Sleeveless Tent Kimono - Pink,60047170,V1024064PINF,3250,20
Vivo Diella 3/4 Sleeve A-Line Dress - Dark Purple,60056641,V0425056DPURM,4500,20
Vivo Basic Drop Shoulder Top - Pink,60054368,V0622002PIN1X,950,19
Vivo X This Is Essential Ruched Bodysuit - Red,60044847,V0524005REDXXS,4250,18
Vivo Nora Front Slit Knee Length Skirt - Navy,60058533,V0825012NAVM,3500,17
Safari Tafari Wrap Top - Songwe Print,60060656,S1025031PR11S/M,3400,16
Vivo Basic Tolani Dress in Jersey - Olive,60065253,V0920021OLIL,4900,16
Vivo Imara Cap Sleeve Sheath Dress - Red,60057735,V0123007REDS,3500,16
Vivo Nuru Maxi Kimono - Brown,60060259,V0725020BRNF,5500,16
Vivo Tana Puff Sleeve Bodysuit - Red,60020986,V0822077REDL,2700,15
Shiv & Shikie X Safari Printed Short Sleeve Shirt - Grey / Black Ezi Print,60056440,S0425041PR2M,4800,14
Vivo Alma Short Sleeve Mini Bodycon - Lime,60060312,V0825060LIMS,3500,14
Vivo Nora Front Slit Knee Length Skirt - Red,60058529,V0825012REDM,3500,14
Vivo Rayon Jersey Slip Dress - Chocolate,60062037,V1025038CHOM,2800,14
Vivo Rayon Jersey Slip Dress - Navy,60062032,V1025038NAVM,2800,14
Vivo Tana Puff Sleeve Bodysuit - Red,60020985,V0822077REDM,2700,14
