Style Number,Style Name,Brand,Category,SKUs,Units Sold,Total Sales KES
V0624100,Vivo Nasinka Wrap Dress,Vivo,Dresses,29,1229,6781026
V0822022,Vivo Basic Sleeveless Tent Dress,Vivo,Dresses,51,1320,6284371
V0822027,Vivo Tana Off Shoulder Maxi Dress,Vivo,Dresses,33,926,6006265
V0625049,Vivo Iyana Cape Top,Vivo,Tops,16,1285,5044782
V1120033,Vivo Lamu Knee Length Chiffon Dress,Vivo,Dresses,40,1093,4401056
V0620079,Vivo Basic Trench Coat,Vivo,Outerwear,20,866,4216507
V0924032,Vivo Lalani Rib Maxi Waterfall,Vivo,Outerwear,17,786,3873572
V0925010,Vivo Basic Crepe Bishop Sleeve Top,Vivo,Tops,60,1109,3837078
V0725022,Vivo Essi Wide Leg Pants in Satin,Vivo,Bottoms,28,757,3714479
V0223225,Vivo Basic Open Kaftan,Vivo,Outerwear,21,672,3584700
V0423055,Vivo Leila Cap Sleeve Tent Knee Length Dress,Vivo,Dresses,24,834,3569870
V0423078,Vivo Basic Leila Short Waterfall,Vivo,Outerwear,36,1009,3258638
V0623042,Vivo Cowl Neck Knit Sweater,Vivo,Outerwear,8,582,3210566
V1123047,Vivo Hanabi Wrap Maxi Dress,Vivo,Dresses,20,566,3157489
V1123113,Vivo Hanabi Tent Maxi Dress,Vivo,Dresses,29,468,3128976
V1225006,Vivo Maisha Kimono & Pant Set,Vivo,Two-Piece Sets,23,407,3041109
V0523123,Vivo Basic Double Layered Wrap Poncho (Without Fringe),Vivo,Outerwear,4,561,2959699
V0126037,Vivo Basic Knee Length Dress In Chiffon,Vivo,Dresses,55,536,2939563
V0821064,Vivo Basic Crepe Cap Sleeved Top,Vivo,Tops,84,1121,2744917
V0223139,Vivo Izzy Satin Bishop Sleeve Top,Vivo,Tops,37,813,2740347
V0819126,Vivo Basic Tulip Sweater,Vivo,Outerwear,28,758,2736063
V0923047,Vivo Ava Tent Flounce Maxi Dress,Vivo,Dresses,25,405,2728160
V0623014,Vivo Zahari Off-Shoulder Maxi Dress,Vivo,Dresses,17,442,2650361
V0924101,Vivo Serwa Square Neck Maxi Dress,Vivo,Dresses,15,413,2620064
V0224250,Vivo Reversible Printed Poncho,Vivo,Outerwear,8,403,2582808
V0422149,Vivo Zena Bishop Panel Long Sleeve Round Neck Dress,Vivo,Dresses,30,518,2429648
V0523033,Vivo Maisha Drop Shoulder Maxi Dress In Rayon,Vivo,Dresses,55,410,2422589
V0623013,Vivo Zahari Sweatheart Neck Jumpsuit,Vivo,Bottoms,12,477,2322355
V0622079,Vivo Wingu Three Tiered Knee Length Dress,Vivo,Dresses,10,497,2283779
V1124138,Vivo Yene Wide Leg Pants,Vivo,Bottoms,28,705,2241029
V0124023,Vivo Esna Drop Shoulder High Low Dress,Vivo,Dresses,12,466,2234255
V1124156,Vivo Chari Shift Dress,Vivo,Dresses,6,516,2212698
V0325007,Vivo Safa Skirt,Vivo,Skirts,44,758,2187258
V0622008,Vivo Jema High Low Tent Dress,Vivo,Dresses,35,437,2070132
V0822002,Vivo Wingu Puff Sleeve Knee Length Dress,Vivo,Dresses,12,497,2058327
V0924103,Vivo Serwa Wide Leg Jumpsuit,Vivo,Bottoms,8,314,2054029
V0322154,Vivo Jasiri Bishop Sleeve Shift Dress,Vivo,Dresses,12,491,2034513
V0625041,Vivo Iyana Wide Leg Pants,Vivo,Bottoms,16,412,2032131
V0719693,Vivo Side Twist Dress,Vivo,Dresses,28,465,1977504
V0225003,Vivo Ayah Drawstring Pants,Vivo,Bottoms,24,411,1953548
V0424168,Vivo Chiffon Wide Kimono,Vivo,Outerwear,2,414,1948499
S0125056,Safari Tiwa Shirred Midi Dress,Safari,Dresses,6,362,1903823
V0625045,Vivo Iyana Bow Tie Mini Dress,Vivo,Dresses,16,347,1888432
V1124097,Vivo Wena Wrap Dress,Vivo,Dresses,12,392,1845948
V0924074,Vivo Leila Short Sleeve Bodycon,Vivo,Dresses,20,536,1822346
V1223014,Vivo Dua Satin Bishop Sleeve Top,Vivo,Tops,19,510,1746410
V0924061,Vivo Kelemi Halter Maxi Dress,Vivo,Dresses,4,209,1744559
V0719112,Vivo Basic Long Sleeved Bodysuit,Vivo,Tops,31,651,1741256
V0922007,Vivo Pesi Drop Shoulder Tent Dress,Vivo,Dresses,20,444,1700993
V1124076,Vivo Meli Sleeveless Coat,Vivo,Outerwear,13,581,1699917
V0624032,Vivo Nasinka Ruffle Sleeve Jumpsuit,Vivo,Bottoms,16,264,1671014
V0625015,Vivo Selah Double Layered Coat,Vivo,Outerwear,18,443,1669700
V0524194,Vivo Cuffed Wide Sweater,Vivo,Outerwear,5,262,1669010
