style_number,style_name
V0424128,Safari Huru Short Sleeved Shirt Dress
V1223070,Safari Kikoy Cullotes
719419,Safari Lira Drawstring Jacket
V0524193,Vivo Adisa Cold Shoulder Kaftan
920120,Vivo Basic Angela Cowl Loose Top
V1124159,Vivo Chesi V-Neck Maxi Dress
VE0042,Vivo Issa Shawl Jersey Waterfall
1121104,Vivo Kala Slit Poncho Top
V0425002,Vivo Kelemi Wide Leg Pants
819011,Vivo Maisha Butterfly Waterfall
920129,Vivo Pashmina Shawl
322107,Vivo Sierra Bodycon
719112,Vivo Essentials Dolman Maxi Dress
S0923067,Safari Kikoy Wide Leg Pants -Black
S0923068,Safari Kikoy Tunic High Low Top With Side Slits
S0322118,Safari Tawi A-Line Long Sleeve Shirt Dress
P21DX74,Square-Back V-Neck Dress
P21DX81,Unshaped Spaghetti-Strap Dress
VE0016B,Vivo Essentials Dolman Maxi Dress
V1121106,Vivo Sana Cape Top
V1023095,Vivo Amara Drop Shoulder Kimono
V1122088,Vivo Malindi Loose Top
V1222307,Vivo Dali Drawstring Shoulder Jumpsuit
V1024034,Vivo Beali Blazer
V0723076,Vivo Issa Shawl Jersey Waterfall
V1122131,Vivo Ayana Wide Top
V0819107,Vivo Basic Mini Butterfly Waterfall
V0819100,Vivo Pashmina Shawl
V1270018,Vivo Wendy Top
V1122117,Vivo Adisa Cold Shoulder Kaftan
V0121028,Vivo Sierra Bodycon
V0624026,Vivo Kelemi Wide Leg Pants
VE0011B,Vivo Essentials Sleeveless Tent Maxi Waterfall
V0222113,Vivo Ruwa Flounce Sleeve Knee Length Tent Dress
V0819154,Vivo Basic Short Dolman Sweater
V0819139,Vivo Basic Angela Cowl Loose Top
V0921277,Vivo Alek Halter Neck Maxi Dress
Z0920125,Zoya Halter Neck Fitness Top
V0719009,Vivo Basic 3/4 Sleeved Bodysuit
V1023098,Vivo Amara Asymmetric Top
V0824017,Vivo Amai Cape Top
S1123091,Safari Lira Drawstring Jacket
V0722037,Vivo Basic Knee Length Shirt Dress
VE0060BLAF,Vivo Nimali Satin Flounce Kimono - Black
V0922019,Vivo Luna Single Tiered Strappy Maxi Dress
V1223070,Vivo Alika Layered Dress
VE0016,Vivo Essentials Dolman Maxi Dress
