style_number,style_name,odoo_product_name,sku,barcode,active_in_odoo,match_method
AN00237,Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt,Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt - Grey,AN00237GRYS-M,70080050,True,style_number
CXSZSX7,Anika Ribbed Pencil Skirt,Anika Ribbed Pencil Skirt - Old Rose,CXSZSX7089-PYOLRM,70081036,True,style_name
CXSZSX7,Anika Ribbed Pencil Skirt,Anika Ribbed Pencil Skirt - Paradise Green,CXSZSX7089-PYGRL,70081040,True,style_name
CXSZSX7,Anika Ribbed Pencil Skirt,Anika Ribbed Pencil Skirt - Paradise Green,CXSZSX7089-PYGRS,70081038,True,style_name
CXSZSX7,Anika Ribbed Pencil Skirt,Anika Ribbed Pencil Skirt - Paradise Green,CXSZSX7089-PYGRM,70081039,True,style_name
LOL2210,Black Leopard Print Cut-out One Shoulder Bodycon Dress,Black Leopard Print Cut-out One Shoulder Bodycon Dress - Black,LOL2210085-2BLAXL,70045983,True,style_name
LOL2210,Black Leopard Print Cut-out One Shoulder Bodycon Dress,Black Leopard Print Cut-out One Shoulder Bodycon Dress - Black,LOL2210085-2BLAL,70045982,True,style_name
LOL2210,Black Leopard Print Cut-out One Shoulder Bodycon Dress,Black Leopard Print Cut-out One Shoulder Bodycon Dress - Black,LOL2210085-2BLAM,70045981,True,style_name
P21SX70,Classic Flared Miniskirt,Classic Flared Miniskirt - Black,P21SX7087BLAL,70074625,True,style_name
P21SX70,Classic Flared Miniskirt,Classic Flared Miniskirt - Black,P21SX7087BLAS,70074623,True,style_name
P21SX70,Classic Flared Miniskirt,Classic Flared Miniskirt - Black,P21SX7087BLAM,70074624,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - Fandango Pink,P21DD8012-RBFAPXL,70028250,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - Fandango Pink,P21DD8012-RBFAPM,70026863,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - Fandango Pink,P21DD8012-RBFAPL,70026864,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - Fandango Pink,P21DD8012-RBFAPS,70026862,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - White,P21DD8012-RBWHIXL,70028252,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - White,P21DD8012-RBWHIM,70026869,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - White,P21DD8012-RBWHIL,70026870,True,style_name
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - White,P21DD8012-RBWHIS,70026868,True,style_name
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL30,70071233,True,style_name
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL32,70071234,True,style_name
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL34,70071235,True,style_name
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL36,70071236,True,style_name
