Style Number,Style Name,Brand,Category,Subcategory,Status,Highest Sold Price (KES),Current Price (KES),Warehouse,Retired Location,Stores,Online,Total SOH
V0719112,Vivo Basic Long Sleeved Bodysuit,Vivo,Tops,Bodysuits,Retired,2900.0,2900.0,129.0,0,268.0,40,440
V0126037,Vivo Basic Knee Length Dress In Chiffon,Vivo,Dresses,Knee Length Dresses,Retired,5500.0,5500.0,157.0,0,175.0,34,366
V0623042,Vivo Cowl Neck Knit Sweater,Vivo,Outerwear,Sweaters & Ponchos,Retired,5550.0,5550.0,148.0,0,175.0,31,354
V0423078,Vivo Basic Leila Short Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,3700.0,3700.0,59.0,2.0,229.0,25,315
V0625049,Vivo Iyana Cape Top,Vivo,Tops,Loose Tops,Retired,3900.0,3900.0,110.0,0,176.0,23,313
V0224250,Vivo Reversible Printed Poncho,Vivo,Outerwear,Sweaters & Ponchos,Retired,6550.0,6550.0,36.0,0,228.0,30,294
V0625016,Vivo Diella Wide Leg Pants in Crepe,Vivo,Bottoms,Full Length Pants,Retired,4700.0,3150.0,48.0,1.0,175.0,23,251
V0920021,Vivo Basic Tolani Jersey Dress,Vivo,Dresses,Knee Length Dresses,Retired,4950.0,4900.0,30.0,108.0,67.0,44,249
V0719693,Vivo Side Twist Dress,Vivo,Dresses,Knee Length Dresses,Retired,4500.0,4500.0,17.0,0,165.0,60,244
V1225012,Vivo Studio Mini Pencil Skirt in Ponte,Vivo,Skirts,Short & Mini Skirts,Retired,2900.0,2900.0,141.0,0,74.0,19,234
V0925053,Vivo Studio 2-piece in Mixed Media,Vivo,Two-Piece Sets,Skirts & Top Set,Retired,6900.0,6900.0,151.0,23.0,30.0,30,234
V0819126,Vivo Basic Tulip Sweater,Vivo,Outerwear,Sweaters & Ponchos,Retired,3900.0,3900.0,6.0,0,191.0,17,217
V0825025,Vivo Anavi Maxi Dress In Jersey,Vivo,Dresses,Maxi Dresses,Retired,6500.0,6500.0,170.0,0,15.0,28,213
V0825012,Vivo Nora Front Slit Knee Length Skirt,Vivo,Skirts,Knee Length Skirts,Retired,3500.0,3500.0,10.0,150.0,21.0,31,212
V0225026,Vivo Chela Tank Top in Stretch Rib,Vivo,Tops,T-shirts & Tank Tops,Retired,1550.0,1500.0,29.0,16.0,132.0,25,202
V1025012,Vivo Anavi Cascade Waterfall,Vivo,Outerwear,Waterfalls & Kimonos,Retired,4500.0,4500.0,120.0,0,48.0,28,196
V0725022,Vivo Essi Wide Leg Pants in Satin,Vivo,Bottoms,Full Length Pants,Retired,4900.0,4900.0,35.0,7.0,70.0,20,172
V1025038,Vivo Rayon Jersey Slip Dress,Vivo,Dresses,Short & Mini Dresses,Retired,2800.0,2800.0,13.0,79.0,36.0,27,155
V0625016,Vivo Diella Wide Leg Pants in Crepe,Vivo,Bottoms,Full Length Pants,Retired,4700.0,4700.0,36.0,0,86.0,22,149
V0925031,Vivo Anavi Short Sleeve Top,Vivo,Tops,T-shirts & Tank Tops,Retired,2500.0,2500.0,93.0,0,27.0,26,146
V1025029,Vivo liora Satin Midi Dress,Vivo,Dresses,Midi & Capri Dresses,Retired,6200.0,6200.0,86.0,1.0,40.0,14,141
V1125006,Vivo Lulu Cotton Barrel Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,4900.0,16.0,58.0,39.0,26,139
V1025009,Vivo Liora Wide Leg Pants,Vivo,Bottoms,Full Length Pants,Retired,4900.0,4900.0,9.0,0,92.0,20,121
S1025031,Safari Tafari Wrap Top,Safari,Tops,Midriff & Crop Tops,Retired,3400.0,3400.0,17.0,69.0,6.0,29,121
V0825060,Vivo Alma Short Sleeve Mini Bodycon,Vivo,Dresses,Short & Mini Dresses,Retired,3500.0,3500.0,4.0,78.0,16.0,19,117
V0725046,Vivo Alma Skirt & Top Set,Vivo,Two-Piece Sets,Skirts & Top Set,Retired,2500.0,2500.0,91.0,0,7.0,18,116
S0825052,Safari by Vivo Zehra Cotton High Low Shirt,Safari,Tops,Fitted Tops,Retired,5800.0,5800.0,31.0,0,58.0,24,113
V0425056,Vivo Diella 3/4 Sleeve A-Line Dress,Vivo,Dresses,Knee Length Dresses,Retired,4500.0,4500.0,3.0,73.0,2,33,111
V0823134,Vivo Basic Long Sleeve Bodysuit (Seamless),Vivo,Tops,Bodysuits,Retired,2900.0,2900.0,11.0,0,81.0,17,109
V0223225,Vivo Basic Open Kaftan,Vivo,Outerwear,Waterfalls & Kimonos,Retired,5500.0,5500.0,41.0,1.0,34.0,27,103
V0825009,Vivo Nora 3/4 Sleeve Peplum Top,Vivo,Tops,Fitted Tops,Retired,2900.0,2900.0,2.0,63.0,10,15,90
V0620079,Vivo Basic Trench Coat,Vivo,Outerwear,Jackets & Coats,Retired,4950.0,4950.0,22.0,0,54.0,14,90
V0821064,Vivo Basic Crepe Cap Sleeved Top,Vivo,Tops,Fitted Tops,Retired,2550.0,2500.0,13.0,0,49.0,27,89
V0324028,Vivo Amai Asymmetrical Cape,Vivo,Tops,Loose Tops,Retired,4700.0,4700.0,16.0,1.0,54.0,15,86
V0325007,Vivo Safa Skirt,Vivo,Skirts,Midi & Capri Skirts,Retired,2950.0,2950.0,3.0,43.0,10.0,28,84
V0819036,Vivo Basic Bodycon,Vivo,Dresses,Knee Length Dresses,Retired,3950.0,3900.0,6.0,0,66.0,9,82
S0425041,Shiv & Shikie X Safari Printed Short Sleeve Shirt,Third Party Brands,Tops,Men's Tops,Retired,4800.0,4800.0,8.0,41.0,20.0,11,80
V0525058,Vivo Selah Palazzo Pants in Stretch Rib,Vivo,Bottoms,Full Length Pants,Retired,3500.0,3500.0,15.0,0,52.0,11,78
V0725029,Vivo Ari Sleeveless Straight Maxi Slit Dress,Vivo,Dresses,Maxi Dresses,Retired,4900.0,4900.0,8.0,37.0,14,18,77
V0825033,Vivo Nuru Strappy Top,Vivo,Tops,Fitted Tops,Retired,2900.0,2900.0,62.0,0,2,11,75
V0925026,Vivo Liora Shorts,Vivo,Bottoms,Shorts & Skorts,Retired,2500.0,2500.0,2.0,34.0,21,17,74
S1124116,Safari Sizani Strappy Tent Top,Safari,Tops,Loose Tops,Retired,2950.0,2950.0,7.0,25.0,19.0,21,72
S0925046,Safari Tafari Shorts,Safari,Bottoms,Shorts & Skorts,Retired,2800.0,2800.0,3.0,14.0,20.0,34,71
V0625059,Vivo Aleri Trench Coat Dress,Vivo,Dresses,Knee Length Dresses,Retired,5900.0,5900.0,6.0,20.0,18.0,18,62
