Style Number,Style Name,Product Name (with color),SKU,Barcode,Brand,Category,Subcategory,Status,Original Price,Warehouse,Retired Location,Stores,Online,Total SOH
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL36,70071236,Third Party Brands,Bottoms,Full Length Pants,Retired,700.0,0,0,2.0,0,2
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL32,70071234,Third Party Brands,Bottoms,Full Length Pants,Retired,700.0,0,0,3.0,0,3
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL38,70071237,Third Party Brands,Bottoms,Full Length Pants,Retired,700.0,0,0,1.0,0,1
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL30,70071233,Third Party Brands,Bottoms,Full Length Pants,Retired,700.0,0,0,3.0,0,3
DH0001D,Denim Haven High Rise Skinny Ripped Jeans,Denim Haven High Rise Skinny Ripped Jeans - Deep Blue,DH0001DBL42,70071239,Third Party Brands,Bottoms,Full Length Pants,Retired,700.0,0,0,1.0,0,1
P21DD80,Cowl Lined Midi Halter Dress,Cowl Lined Midi Halter Dress - Fandango Pink,P21DD8012-RBFAPL,70026864,Third Party Brands,Dresses,Midi & Capri Dresses,Retired,2600.0,0,0,1.0,0,1
P21DX79,Double O-ring Cami Dress,Double O-ring Cami Dress - Dark Amber,P21DX7936DABL,70057257,Third Party Brands,Dresses,Short & Mini Dresses,Retired,560.0,0,0,1.0,0,1
P21DX80,Lace-Up Back Spaghetti-Strap Dress,Lace-Up Back Spaghetti-Strap Dress - Winsome Orchid,P21DX80044WODS,70057261,Third Party Brands,Dresses,Short & Mini Dresses,Retired,640.0,0,0,1.0,0,1
P21TX94,Key Hole Halter with Seamed Body,Key Hole Halter with Seamed Body - Black,P21TX9411-RBBLAXL,70042063,Third Party Brands,Tops,Midriff & Crop Tops,Retired,400.0,0,0,1.0,0,1
RFS0125,Vivo Knee length Dress,Vivo Shorts - RFS 3,RFS0125013 - RFS 3,60053497,Vivo,Sale,Sample & Sale Items,Retired,750.0,0,0,1.0,0,1
RFS0125,Vivo Knee length Dress,Vivo Shorts - RFS 4,RFS0125013 - RFS 4,60053498,Vivo,Sale,Sample & Sale Items,Retired,1050.0,0,1.0,0,1,2
RFS0125,Vivo Knee length Dress,Vivo Shorts - RFS 5,RFS0125013 - RFS 5,60053499,Vivo,Sale,Sample & Sale Items,Retired,650.0,0,0,1.0,0,1
S0120016,Safari Reversible Shirt Jacket,Safari Reversible Shirt Jacket - Grey / Print 2,0120016GRY/PR2L,40017473,Safari,Outerwear,Jackets & Coats,Retired,4150.0,0,0,0,1,1
