product_name,units_sold
Vivo Basic Leggings - Black,4648
Vivo Basic Sienna Waterfall - Black,2356
Vivo Denim Straight Pants - Navy,1955
Vivo Upe Wide Leg Pants in Ponte,1868
Vivo Basic Tank Top - Black,1504
Vivo Basic Tank Top - White,1363
Vivo Basic Cap Sleeve Bodycon - Black,1328
Vivo Waridi Pencil Skirt - Black,1289
Vivo Lindi High Low Dress - Black,1261
Vivo Basic Bodycon - Black,1224
Vivo Basic Panelled Leisure Pants - Black,1155
Vivo Basic Sienna Waterfall - White,1154
Vivo Everyday Cap Sleeve Top - Black,1104
Vivo Basic Cap Sleeved Bodysuit - Black,932
Vivo Dua wide leg pant-Black,859
Vivo Basic Straight Leg Pants - Black,797
Vivo Basic Double Layered Wrap Poncho - Dark Red,754
Vivo Basic Dua Jacket - Burgundy,737
Vivo Val Cap Sleeve Top - White,735
Vivo Ari Sweater - Black,726
Vivo Upe Wide Leg Pants in Ponte - Hunters Green,704
Vivo Basic Escape A-line Dress - Black,701
Vivo Basic Leggings - Navy Blue,700
Vivo Lulu Denim Flared Pants - Navy,697
Vivo Basic Capri Leggings - Black,668
Vivo Basic Sienna Waterfall - Navy,648
Vivo Dua Jacket - Black,628
Vivo Basic Dua Jacket - White,619
Vivo Basic Extra Long Lily Waterfall - Black,601
Vivo Lindi High Low Dress In Ponte - Green,569
Vivo Basic Kena Tent Knee Length Dress - Black,547
Vivo Basic Cap Sleeve Bodycon - Navy Blue,543
Vivo Basic Sleeveless Kena Tent Maxi Dress - Black,524
Vivo Upe Wide Leg Pants in Ponte - Navy,521
Vivo Basic Sienna Waterfall - Dark Red,521
Vivo Basic Straight Leg Pants - Navy,505
Vivo Upe Wide Leg Pants in Ponte - Burgundy,504
Ythera Diani Magic Fine Fragrance Mist,497
Vivo Safa Straight Leg Pants - Black,492
Vivo Basic Sleeveless Bodysuit - Black,487
Vivo Double Layered Wrap Poncho - Mustard,487
Vivo Selah Sleeveless Maxi Dress in Stretch Rib - Black,484
Vivo Safa Drop Shoulder Top - Black,477
Ythera Vanilla Orchid Fine Fragrance Mist,469
Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress - Navy Blue,465
Vivo Basic Leisure Pants - Black,463
Vivo Basic Short Waterfall - Black,462
Vivo Basic Leisure Pants in Ponte - Black,449
Vivo Basic Kena Tent Maxi Dress - Black,446
Vivo Basic Dua Jacket - Navy Blue,440
Vivo Basic Kena Tent Knee Length Dress - Green,436
Vivo Double Layered Wrap Poncho - Black,432
Ythera Goddess Fine Fragrance Mist,429
Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Black,427
Vivo Mini Butterfly Sweater - Black,419
Ythera Tuber Rose Fine Fragrance Mist,418
Vivo Everyday Long Sleeve Top In Jersey - Black,417
Vivo Spaghetti Tank Top in Jersey - Black,411
"Vivo Double Layered Wrap Poncho, Rust",409
Vivo Everyday Cap Sleeve Top - Rust,405
Vivo Sanali Wide Leg Pants,395
Vivo Dalia Sleeveless Gathered Tent Dress - Cream / Green Print,392
Vivo Basic Double Layered Wrap Poncho - Rust,386
Vivo Dua Wide Leg Pants - Black,385
Vivo Ava Front Pleat Knee Length Dress - Cream / Purple Print,384
Vivo Basic Straight Leg Pants - Wine Red,382
Vivo Basic Drop Shoulder Top - Pink,381
Vivo Basic Round Neck Maxi Dress In Crepe - Dark Green,380
Vivo Lindi High Low Dress - Mustard,376
Vivo Basic Crepe Bishop Sleeve Top - Gold / Purple Print,372
Vivo Basic Double Layered Wrap Poncho - Black,371
Vivo Basic Straight Leg Pants - Hunters,365
Vivo Basic Kena Tent Knee Length Dress in Ponte - Mustard,364
Vivo Basic Panelled Leisure Pants - Navy Blue,361
Vivo Basic Sleeveless Kena Tent Maxi Dress in Ponte - Black,355
Vivo Basic Leisure Pants - Burgundy,354
Vivo Basic Kena Tent Knee Length Dress - Navy,353
Vivo Basic 3/4 Sleeve Kena Tent Knee Length Dress - Red,352
Vivo Poncho DL FS 1 - Black,345
Vivo MSD 7,344
Vivo Basic Dua Jacket - Wine Red,344
Vivo Basic Imelda Cowl Sweater - Mustard,342
Vivo Basic Leisure Pants - Navy Blue,338
Vivo Basic Dua Jacket - Black,330
Vivo Basic Cap Sleeve Tent Knee Length Dress - Off White / Light Mustard Print,329
Vivo MSD 1,327
Vivo Basic Bodycon Dress - Navy Blue,326
Vivo Ari Sweater - White,324
Vivo Basic Trench Coat - Black,323
Vivo Anavi Leggings In Jersey - Black,317
Vivo Basic Waridi Pencil Skirt - Dark Teal,316
Vivo Imara Cap Sleeve Sheath Dress - Red,313
Vivo Diella Pleated Dress - Black,312
Vivo Basic Short Waterfall - Navy Blue,306
Vivo Basic Cap Sleeve Tent Knee Length Dress - Navy / Off White Print,306
Vivo Basic Tank Top - Dark Taupe,305
Vivo Tanda Loose Sweater - White,303
Vivo Sleeveless Bodycon in Stretch Rib - Wine Red,303
Vivo Basic Sleeveless Jersey Waterfall - Black,302
Vivo Imara 3/4 Sleeve Tent Dress In Polyester - Burgundy,302
Vivo Basic Val Tank Top - Black,301
Vivo Basic Double Layered Wrap Poncho - Teal,301
Vivo X This Is Essential Long Unitard - Black,300
Vivo Basic Kena Tent Maxi Dress - Mustard,299
Vivo Poncho DL FS 1 - Rust,298
Vivo Poncho DL FS 1 - Dark Red,297
Vivo Basic Double Layered Wrap Poncho - Mustard,294
Vivo Basic Round Neck Maxi Dress - Blue / Black Print,291
Vivo Aleri Wide Leg Pants - Navy,287
Vivo Poncho DL FS 1 - Mustard,286
Vivo Waridi Pencil Skirt - Dark Navy Blue,285
Vivo Basic Round Neck Maxi Dress - Black / Rust Print,284
Vivo Basic Panelled Leisure Pants - Burgundy,284
Ythera Frangipani Fine Fragrance Mist,281
Vivo Iyana Cape Top - White,281
Vivo Lindi High Low Dress In Ponte - Navy Blue,280
Vivo Basic Lined Capri Skirt - Black,280
Vivo Basic Sienna Waterfall - Chocolate,279
Vivo Basic Crepe Cap Sleeved Top - Navy / Mustard Print,278
Vivo Selah Mock Neck Top in Stretch Rib - Off-White,278
Vivo Selah Palazzo Pants in Stretch Rib - White,277
Vivo Basic Escape A-line Dress - Red,277
Vivo Nala 3/4 Sleeve Tent Dress - Navy / Mustard Print,274
Vivo Leila Cap Sleeve Tent Maxi Dress - Black,273
Vivo Waridi Sleeveless Overcoat - Black,273
Vivo Basic Long Sleeved Bodysuit - Black,269
Vivo Basic Sienna Waterfall - Dark Green,269
Vivo Basic Cap Sleeved Bodysuit - Navy Blue,267
Vivo Basic Tank Top - Chocolate,265
Vivo Kani Tent Shirt Dress - Burgundy / Black Print,265
Vivo Kani Tent Shirt Dress - Mustard / Black,264
Vivo Bana Batwing Top - White,262
Vivo Bissa Reversible Maxi Dress - Light Beige / Brown Print,262
Vivo Lindi High Low Dress In Ponte - Orange,259
Vivo Basic Sienna Waterfall - Mustard,257
Vivo Wingu Three Tiered Knee Length Dress - Brown / Cream Print,257
Vivo Basic 3/4 Sleeve Double Layered Bodycon Dress - Dark Red,256
Vivo Basic Double Layered Wrap Poncho - Dark Green,255
Vivo MSD 4,254
Vivo Safa Straight Leg Pants - Chocolate,253
Vivo Basic Crepe Cap Sleeve Top - Rust / Black Print,252
Vivo Sawari Crossed Cuff Batwing Top - Black / Cream Print,251
Vivo Wingu Tiered Knee Length Dress - Navy / Taupe Print,251
Vivo Basic Short Waterfall - Taupe,251
Vivo Basic A-line Maxi Skirt - Black,247
Vivo Kani Bishop Sleeve Top in Crepe - Navy,246
Vivo Basic Tank Top - Pink,244
Vivo Basic Sleeveless Bodysuit - White,244
Vivo Basic Satin Cap Sleeve Top - Black,244
Vivo Lulu Wide Hem Tent Dress - Navy,243
Vivo Zuri Cap Sleeve Knee Length Dress - Blue / Black Print,243
Vivo Knee length Dress - Fs 4,240
Vivo Basic Straight Leg Pants - Burgundy,239
Vivo Basic Cap Sleeve Tent Knee Length Dress - White Navy Print,239
Vivo Basic Double Layered Wrap Poncho - Light Navy Blue,239
Vivo Basic Kena Tent Knee Length Dress - Red,238
Vivo Everyday Cap Sleeve Top - Olive,237
Vivo Bana Batwing Top - Dark Olive,235
Vivo Basic Sienna Waterfall -  Dark Taupe,234
Vivo Tatili Wide Leg Pants - Black,233
Vivo Basic Val Tank Top - Navy Blue,233
Vivo Ari Sweater - Dark Grey,233
Vivo Chari Shift Dress - Black / Orange Riah Print,233
Vivo Basic Double Layered Wrap Poncho - Ivory,232
Vivo Basic Val Tank Top - Maroon,230
Vivo Kani Cap Sleeve Maxi Dress - Black,229
Vivo Basic Panelled Leisure Pants - Navy Dotted,229
Vivo Basic Long Sleeved Bodysuit - White,229
Vivo Aleri Front Slit Sheath Dress - Black,227
Vivo Basic Short Sleeve Top in Jersey - Black,227
Vivo MSD 3,226
Vivo Lindi High Low Dress - Green,226
Vivo Basic Sleeveless Kena Tent Maxi Dress - Navy Blue,226
Vivo Basic Cap Sleeved Bodysuit - White,225
Vivo Basic Chiffon Cap Sleeve Top (Double Layered) - White,225
Vivo Basic Cap Sleeve Maxi Tent Dress - Mustard / Black Print,224
Vivo Basic Sleeveless Tent Dress in Crepe - White / Dark Hunters Print,223
Vivo Muna Cap Sleeve Knee Length Dress - Dark Green / Cream Print,223
Vivo Serwa Flounce Dress - Navy / Taupe,223
Vivo Basic Val Long Sleeve Top - Chocolate,222
Vivo Basic Pencil Skirt - Black,222
Vivo Diella V-Neck Jumpsuit - Peach / Navy Print,221
Vivo Lindi High Low Dress - Red,221
Vivo Sawari Crossed Cuff Batwing Top - Light Cream / Black Print,221
Vivo Aleri Wide Leg Pants - Purple,221
Vivo Lindi High Low Dress In Ponte - Mustard,220
Vivo Ponte Back Pleat Maxi Dress - Red,220
Vivo Laika 3/4 Sleeve Tent Dress In Crepe - Mint / Black Laki Print,219
Vivo Safa Drop Shoulder Top - Chocolate,217
Vivo Dua 3/4 Sleeved V Neck Shirt - White,216
Vivo Everyday Cap Sleeve Top - White,215
Vivo Basic Panelled Leisure Pants - Dark Teal,215
