sku,barcode
ZIA00100GREXS,70110590
ZIA00100GRES,70110591
ZIA00100GREM,70110592
ZIA00100GREL,70110593
ZIA00100GREXL,70110594
ZIA00100GREXXL,70110595
ZIA00101PINXS,70115967
ZIA00101PINS,70115968
ZIA00101PINM,70115969
ZIA00101PINL,70115970
ZIA00101PINXL,70115971
ZIA00101PINXXL,70115972
ZIA00104LATXS,70114641
ZIA00104LATS,70114642
ZIA00104LATM,70114643
ZIA00104LATL,70114644
ZIA00104LATXL,70114645
ZIA00104LATXXL,70114646
4MTA00010CRE/YELL,70116111
4MTA00017BLUL,70108195
4MTA00009BLA/REDXL,70108196
4MTA00016BLUL,70108197
4MTA00008BLUL,70108198
ZM0016BEIS,70056151
ZM0016BEIM,70056152
ZM0016BEIL,70056153
ZM0016BEIXL,70056415
ZM0016BEI2XL,70056416
ZM0016BEI3XL,70056417
ZM0016BLAS,70056148
ZM0016BLAM,70056149
ZM0016BLAL,70056150
ZM0016BLAXL,70056418
ZM0016BLA2XL,70056419
ZM0016BLA3XL,70056420
ZM0016GRYS,70056797
ZM0016GRYM,70056798
ZM0016GRYL,70056799
ZM0016GRYXL,70056800
ZM0016GRY2XL,70056801
ZM0016GRY3XL,70056802
ZM0016WHTS,70056145
ZM0016WHTM,70056146
ZM0016WHTL,70056147
ZM0016WHTXL,70056421
ZM0016WHT2XL,70056422
ZM0016WHT3XL,70056423
ZM0015BEIS,70056142
ZM0015BEIM,70056143
ZM0015BEIL,70056144
ZM0015BEIXL,70056406
ZM0015BEI2XL,70056407
ZM0015BEI3XL,70056408
ZM0015BLAS,70056139
ZM0015BLAM,70056140
ZM0015BLAL,70056141
ZM0015BLAXL,70056409
ZM0015BLA2XL,70056410
ZM0015BLA3XL,70056411
ZM0015GRYS,70056791
ZM0015GRYM,70056792
ZM0015GRYL,70056793
ZM0015GRYXL,70056794
ZM0015GRY2XL,70056795
ZM0015GRY3XL,70056796
ZM0015WHTS,70056136
ZM0015WHTM,70056137
ZM0015WHTL,70056138
ZM0015WHTXL,70056412
ZM0015WHT2XL,70056413
ZM0015WHT3XL,70056414
4MTA00015GRYXL,70115043
4MTA00011PINL,70113366
UT00624NABF,70098560
690NOIRL,69012241
651NOIRL,65110241
813NOIRXL,81306251
751NOIRL,75101251
652NOIRS,65201251
924SABLEL,92408251
924SABLEM,92408252
924SABLES,92408253
PLMH00007REDS,70118013
PLMH00007REDM,70118014
PLMH00007REDL,70103495
