Your Product Name,SKU,Shop Zetu Product Title
Safari Tiwa Shirred Midi Dress - Hunters,S0125056HUNM/L,Ajani Gift Box
Safari Tiwa Shirred Midi Dress - Lime,S0125056LIMM/L,Ajani Gift Box
Safari Kamari Long Sleeve Drawstring Shacket - Black,S0224181BLAM/L,Ajani Gift Box
Safari Kamari Drop Shoulder Top - Navy Blue,S0224189NABM/L,Ajani Gift Box
Safari Kamari Capri Cargo Pants - White,S0224195WHIM,Ajani Gift Box
Safari Tiwa Barell Pants - Black,S0325031BLAL,Ajani Gift Box
Safari Tiwa Barell Pants - Rust,S0325031RUSTL,Ajani Gift Box
Safari Naledi Gathered Panel Maxi Skirt - Navy,S0525004NAV1X,Ajani Gift Box
Safari Men's Shacket - Dark Grey,S0424037DGRYM,Ajani Gift Box
Safari Men's Cargo Pants - Dark Grey,S0424047DGRYL,Ajani Gift Box
Safari Bush Drop Shoulder Long Sleeve Top - Mustard,S0424064MUSM/L,Ajani Gift Box
Safari Kamari Ribbed Top - Hunters Green,S0424073HGNM,Ajani Gift Box
Safari Men's Long Sleeve Shirt - Khaki,S0424145KHAL,Ajani Gift Box
Shiv & Shikie X Safari Printed Short Sleeve Shirt - Taupe / Black Ezi Print,S0425041PR3L,Ajani Gift Box
Safari Savannah Kitenge Midi Wrap Dress - Sipo Print,S0824067SIPL,Ajani Gift Box
Safari Zene Drop Shoulder Top - Taupe,S1023059TAUM,Ajani Gift Box
Safari Chui Lined Jacket - White Cloud,S1024005WHICM,Ajani Gift Box
Safari Chui Cropped Jacket - White Cloud,S1024007WCLOL,Ajani Gift Box
Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top - Black stripes,V0622041PR7F,Ajani Gift Box
Vivo Tana Puff Sleeve Bodysuit - Red,V0822077REDS,Ajani Gift Box
Vivo Kitenge Wide Leg Pants - Maroon / Pink Ara Print,VE0032PR17S,Ajani Gift Box
Vivo Full Length Kimono - Keri,V0224241PR10M/L,Ajani Gift Box
Vivo Full Length Kimono - Maya,V0224241PR11M/L,Ajani Gift Box
Vivo Kelemi 4.0 Kimono - Purple,V0325041PURL,Ajani Gift Box
Vivo Diella 3/4 Sleeve A-Line Dress - Black,V0425056BLAS,Ajani Gift Box
Vivo Tana Puff Sleeve Bodysuit - Chocolate Brown,V0822077CHBM,Ajani Gift Box
