Your Product Name,SKU,Shop Zetu Product Title
Safari Tiwa Shirred Midi Dress - Hunters,S0125056HUNM/L,Safari by Vivo  Tiwa Shirred Midi Dress - Hunters
Safari Tiwa Shirred Midi Dress - Lime,S0125056LIMM/L,Safari by Vivo  Tiwa Shirred Midi Dress - Lime
Safari Kamari Long Sleeve Drawstring Shacket - Black,S0224181BLAM/L,Safari by Vivo Kamari Long Sleeve Drawstring Shacket - Black
Safari Kamari Drop Shoulder Top - Navy Blue,S0224189NABM/L,Safari by Vivo Kamari Drop Shoulder Top - Navy Blue
Safari Kamari Capri Cargo Pants - White,S0224195WHIM,Safari Kamari Capri Cargo Pants - White
Safari Tiwa Barell Pants - Black,S0325031BLAL,Safari by Vivo  Tiwa Barell Pants - Black
Safari Tiwa Barell Pants - Rust,S0325031RUSTL,Safari by Vivo  Tiwa Barell Pants - Rust
Safari Naledi Gathered Panel Maxi Skirt - Navy,S0525004NAV1X,Safari by Vivo  Naledi Gathered Panel Wrap Dress - Navy
Safari Men's Bomber Jacket - Dark Grey,N/A,NOT LISTED ON SHOP ZETU
Safari Men's Shacket - Dark Grey,S0424037DGRYM,Safari Men's Shacket - Dark Grey
Safari Men's Cargo Pants - Dark Grey,S0424047DGRYL,Safari by Vivo Men's Cargo Pants - Dark Grey
Safari Bush Drop Shoulder Long Sleeve Top - Mustard,S0424064MUSM/L,Safari by Vivo Bush Drop Shoulder Long Sleeve Top - Mustard
Safari Kamari Ribbed Top - Hunters Green,S0424073HGNM,Safari Kamari Ribbed Top - Hunters Green
Safari Kamari Front Slit Midi Skirt - Navy,N/A,NOT LISTED ON SHOP ZETU
Safari Men's Long Sleeve Shirt - Khaki,S0424145KHAL,Safari Men's Long Sleeve Shirt - Khaki
Shiv & Shikie X Safari Printed Short Sleeve Shirt - Taupe / Black Ezi Print,S0425041PR3L,Shiv & Shikie X Safari Printed Short Sleeve Shirt - Taupe  / Black Ezi Print
Safari Savannah Kitenge Midi Wrap Dress - Sipo Print,S0824067SIPL,Safari Savannah Kitenge Midi Wrap Dress - Sipo Print
Safari Zene Drop Shoulder Top - Taupe,S1023059TAUM,Safari by Vivo Zene Drop Shoulder Top - Taupe
Safari Chui Lined Jacket - White Cloud,S1024005WHICM,Safari Chui Lined Jacket -  White Cloud
Safari Chui Cropped Jacket - White Cloud,S1024007WCLOL,Safari Chui Cropped Jacket - White Cloud
Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top - Black stripes,V0622041PR7F,Vivo Mistari 3/4 Sleeve  V - Neck Collared Tunic Top - Black stripes
Vivo Tana Puff Sleeve Bodysuit - Red,V0822077REDS,Vivo Tana Puff Sleeve Bodysuit In Jersey - Red
Vivo Kitenge Wide Leg Pants - Maroon / Pink Ara Print,VE0032PR17S,Vivo Kitenge Wide Leg Pants -   Maroon / Pink Ara Print
Vivo Full Length Kimono - Keri,V0224241PR10M/L,Vivo Full Length Kimono - Keri
Vivo Full Length Kimono - Maya,V0224241PR11M/L,Vivo Full Length Kimono - Maya
Vivo Kelemi 4.0 Kimono - Purple,V0325041PURL,Vivo Kelemi 4.0  Kimono - Purple
Vivo Diella 3/4 Sleeve A-Line Dress - Black,V0425056BLAS,Vivo Diella 3/4 Sleeve A-Line Dress  - Black
Vivo Diella 3/4 Sleeve A-Line Dress - Dark Olive,N/A,NOT LISTED ON SHOP ZETU
Vivo Tana Puff Sleeve Bodysuit - Chocolate Brown,V0822077CHBM,Vivo Tana Puff Sleeve Bodysuit In Jersey - Chocolate Brown
