kind,template_id,product_name,proposed_number,proposed_name_or_alts
recoverable,342705,Safari Bush Asymmetrical Sweater Poncho  - FS,S0424050,Safari Bush Asymmetrical Sweater Poncho
recoverable,342684,Safari By Vivo Mens Cotton Pants  - FS,S0925061,Safari By Vivo Mens Cotton Pants
recoverable,342708,Safari Kamari Sleeveless Cropped Jacket  - FS,S0224182,Safari Kamari Sleeveless Cropped Jacket
recoverable,342964,Safari Kaya Long Sleeve Collar Shirt  - FS,S0522015,Safari Kaya Long Sleeve Collar Shirt
recoverable,88284,Safari Kikoy Wide Elastic Shorts - Pink Print,S0923106,Safari Kikoy Wide Elastic Shorts
recoverable,88298,Safari Kitenge 3/4 sleeve Maxi Dress - Neba Print,S0223033,Safari Kitenge 3/4 sleeve Maxi Dress
recoverable,88312,Safari Kitenge T-Shirt - White / Chari Print,S0524199,Safari Kitenge T-Shirt
recoverable,88314,Safari Kitenge T-Shirt - White / Tari Print,S0524199,Safari Kitenge T-Shirt
recoverable,88417,Safari Lira Sleeveless Coat - Taupe,S1123094,Safari Lira Sleeveless Coat
recoverable,342965,Safari Long Sleeve Waterfall  - FS,S0424052,Safari Long Sleeve Waterfall
recoverable,88436,Safari Long Sleeve Waterfall - Hunters,S0424052,Safari Long Sleeve Waterfall
recoverable,342966,Safari Lounge Pants  - FS,S0424081,Safari Lounge Pants
recoverable,342701,Safari Lounge Pants  - FS,S0424081,Safari Lounge Pants
recoverable,342703,Safari Lounge Pants In Jersey  - FS,S0424081,Safari Lounge Pants In Jersey
recoverable,320384,Safari Mali Gathered Flounce Sleeve Shirt Dress - Mustard,S0223171,Safari Mali Gathered Flounce Sleeve Shirt Dress
recoverable,88910,Safari Mali Wrap Lapel Top - Navy Blue,S0123091,Safari Mali Wrap Lapel Top
recoverable,342691,Safari Nazari Bubble Midi Dress  - FS,S0825007,Safari Nazari Bubble Midi Dress
recoverable,342692,Safari Nazari Coat Dress  - FS,S0825005,Safari Nazari Coat Dress
recoverable,342696,Safari Nazari Maxi Shirt Dress  - FS,S0725012,Safari Nazari Maxi Shirt Dress
recoverable,271847,Safari Nazari Maxi Shirt Dress - Yellow / Cream Print,S0725012,Safari Nazari Maxi Shirt Dress
recoverable,342695,Safari Nazari Three Tiered Maxi Dress  - FS,S0725040,Safari Nazari Three Tiered Maxi Dress
recoverable,89288,Safari Njano Joggers - Hunters Green / Shama Print,S0724143,Safari Njano Joggers
