kind,style_number,style_name,sheet_tier,odoo_status
"active_but_retired","Sample & Sale Items","Sample & Sale Items","SAMPLE","['Active', 'Retired']"
"active_but_retired","V0719839","Vivo Basic Sleeveless Long Lily Waterfall","Tier 1","['Retired']"
"active_but_retired","V0719677","Vivo Basic Short Lily Waterfall","Tier 1","['Retired']"
"active_but_retired","V1119112","Vivo Basic Sleeveless Double Layered Bodycon","Tier 1","['Retired']"
"active_but_retired","V0523123","Vivo Basic Double Layered Wrap Poncho (Without Fringe)","Tier 1","['Retired']"
"active_but_retired","V0719112","Vivo Basic Long Sleeved Bodysuit","Tier 1","['Retired']"
"active_but_retired","V0423078","Vivo Basic Leila Short Waterfall","Tier 1","['Retired']"
"active_but_retired","V0822077","Vivo Tana Puff Sleeve Bodysuit","Tier 2","['Retired']"
"active_but_retired","V0622002","Vivo Basic Drop Shoulder Top","Tier 2","['Retired']"
"active_but_retired","V0920021","Vivo Basic Tolani Jersey Dress","Tier 2","['Retired']"
"active_but_retired","V1020056","Vivo Waridi Sleeveless Overcoat","Tier 2","['Retired']"
"active_but_retired","V0225026","Vivo Chela Tank Top in Stretch Rib","Tier 2","['Retired']"
"active_but_retired","V1123129","Vivo Sanali Wide Leg Pants","Tier 2","['Retired']"
"active_but_retired","V0620079","Vivo Basic Trench Coat","Tier 2","['Retired']"
"active_but_retired","V0121031","Vivo Sierra Bishop Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0123007","Vivo Imara Cap Sleeve Sheath Dress","Tier 2","['Retired']"
"active_but_retired","V0323019","Vivo Basic V-neck Cap Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0924095","Vivo Serwa Flounce Dress","Tier 2","['Retired']"
"active_but_retired","V1219185","Vivo Basic Aziza Belt","Tier 2","['Retired']"
"active_but_retired","V1122192","Vivo Basic Sleeveless Midi Jersey Waterfall","Tier 2","['Retired']"
"active_but_retired","V0224108","Vivo X This Is Essential Long Unitard","Tier 2","['Retired']"
"active_but_retired","V0823154","Vivo X This Is Essential Sleeveless High Neck Bodysuit","Tier 2","['Retired']"
"active_but_retired","V1022057","Vivo Basic Maternity Leggings","Tier 2","['Retired']"
"active_but_retired","V0321017","Vivo Basic Sleeveless Sienna Waterfall","Tier 2","['Retired']"
"active_but_retired","V0320040","Vivo Basic Boundneck Puff Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0121134","Vivo Basic Nalia High Low Jersey Top","Tier 2","['Retired']"
"active_but_retired","V0919039","Vivo Basic Puff Sleeved Bodycon","Tier 2","['Retired']"
"active_but_retired","V0423055","Vivo Leila Cap Sleeve Tent Knee Length Dress","Tier 2","['Retired']"
"active_but_retired","V1223014","Vivo Dua Satin Bishop Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0923060","Vivo X This Is Essential Short Sleeve Bodysuit","Tier 2","['Retired']"
"active_but_retired","V0422075","Vivo Basic Chiffon Dropped Shoulder Top","Tier 2","['Retired']"
"active_but_retired","V0120092","Vivo Basic Long Sleeved Bishop Top","Tier 2","['Retired']"
"active_but_retired","V1122193","Vivo Basic Sleeveless Extra Long Lily Waterfall","Tier 2","['Retired']"
"active_but_retired","V0220004","Vivo Strappy Belt","Tier 2","['Retired']"
"active_but_retired","V0422058","Vivo Basic Tsavo Scalloped Chiffon Top","Tier 2","['Retired']"
"active_but_retired","V1124074","Vivo Ayla Crepe Pants","Tier 2","['Retired']"
"active_but_retired","V1119024","Vivo Basic Nalia High-low Chiffon Top","Tier 2","['Retired']"
"active_but_retired","V0223154","Vivo Yumi High Low Shirt Dress","Tier 2","['Retired']"
"active_but_retired","V1223015","Vivo Hanabi Satin High Low Top","Tier 2","['Retired']"
"active_but_retired","V0722034","Vivo Basic Julia 3/4 Sleeve Back Pleat Knee Length Dress","Tier 2","['Retired']"
"active_but_retired","V1120005","Vivo Zawadi Inverted Pleat Dress","Tier 2","['Retired']"
"active_but_retired","V0524194","Vivo Cuffed Wide Sweater","Tier 2","['Retired']"
"active_but_retired","V0921140","Vivo Alek 3/4 Sleeve A-Line Maxi Kimono","Tier 2","['Retired']"
"active_but_retired","V0822002","Vivo Wingu Puff Sleeve Knee Length Dress","Tier 2","['Retired']"
"active_but_retired","V0724124","Vivo Wila Jumpsuit","Tier 2","['Retired']"
"active_but_retired","V0822027","Vivo Tana Off Shoulder Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V0224220","Vivo Nala 3/4 Sleeve Tent Dress","Tier 2","['Retired']"
"active_but_retired","V0823134","Vivo Basic Long Sleeve Bodysuit (Seamless)","Tier 2","['Retired']"
"active_but_retired","V0921084","Vivo Ponte Back Pleat Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V1120033","Vivo Lamu Knee Length Chiffon Dress","Tier 2","['Retired']"
"active_but_retired","V0523147","Vivo Dua Long Bishop Sleeve Top","Tier 2","['Retired']"
"active_but_retired","V0323058","Vivo Basic Long Sleeve Tent Shirt Dress","Tier 2","['Retired']"
"active_but_retired","V0422077","Vivo Basic Sienna Jersey Top","Tier 2","['Retired']"
"active_but_retired","V0819006","Vivo Basic Midi Pencil Skirt","Tier 2","['Retired']"
"active_but_retired","V0819064","Vivo Basic Long Lily Waterfall","Tier 2","['Retired']"
"active_but_retired","V0819056","Vivo Basic Salma Maxi Boat Neck Dress","Tier 2","['Retired']"
"active_but_retired","V0422149","Vivo Zena Bishop Panel Long Sleeve Round Neck Dress","Tier 2","['Retired']"
"active_but_retired","V0719293","Vivo Basic Faux Pocket Leisure Pants","Tier 2","['Retired']"
"active_but_retired","V0623014","Vivo Zahari Off-Shoulder Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V1123113","Vivo Hanabi Tent Maxi Dress","Tier 2","['Retired']"
"active_but_retired","V1021174","Vivo Ponte Back Pleat High Low Dress","Tier 2","['Retired']"
"active_but_retired","V0922007","Vivo Pesi Drop Shoulder Tent Dress","Tier 2","['Retired']"
"active_but_retired","V0422047","Vivo Tunu Long Slit Sleeve Knee Length Shift Dress","Tier 2","['Retired']"
"active_but_retired","V0624100","Vivo Nasinka Wrap Dress","Tier 2","['Retired']"
"active_but_retired","V1020122","Vivo Tsavo Scalloped Hem Dress Top","Tier 2","['Retired']"
