Batch,Template ID,Product Name,Missing,Current Style Name,Current Style Number
Batch 1,255945,Vivo Long Sleeve Blazer - Atbara,Style Number,Vivo Long Sleeve Blazer,
Batch 1,255946,Vivo Long Sleeve Blazer - Savannah,Style Number,Vivo Long Sleeve Blazer,
Batch 1,342510,Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top  - FS,Style Name; Style Number,,
Batch 1,342281,Vivo Studio Longline Shorts in Crepe  - FS,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 1,330501,Vivo Studio Longline Shorts in Crepe - Black Stripes,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 1,330499,Vivo Studio Longline Shorts in Crepe - Lilac Stripes,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 1,330498,Vivo Studio Longline Shorts in Crepe - Maroon Stripes,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 1,330502,Vivo Studio Longline Shorts in Crepe - Navy Stripes,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 1,330500,Vivo Studio Longline Shorts in Crepe - Olive Stripes,Style Number,Vivo Studio Longline Shorts in Crepe,
Batch 2,88900,Safari Mali Turn Up Hem Pants - Navy Blue,Style Number,Safari Mali Turn Up Hem Pants,
Batch 2,340667,Safari Reversible Shirt Jacket - Grey / Print 2,Style Name,,S0120016
Batch 2,342241,Vivo Basic Abby Loose Top - Black,Style Name; Style Number,,
Batch 2,223333,Vivo Basic Jersey Cascade Waterfall - Rust,Style Number,Vivo Basic Jersey Cascade Waterfall,
Batch 2,223904,Vivo Basic Midi Pencil Skirt - Dark Green,Style Number,Vivo Basic Midi Pencil Skirt,
Batch 2,239824,Vivo Basic Strappy Cullote Jumpsuit - Blue / White Floral Print,Style Number,Vivo Basic Strappy Cullote Jumpsuit,
Batch 2,305112,Vivo Bodysuits T- Shirts & Tank Tops - RFS 1,Style Number,Vivo Bodysuits T- Shirts & Tank Tops,
Batch 2,240536,Vivo Bodysuits T- Shirts & Tank Tops - RFS 2,Style Number,Vivo Bodysuits T- Shirts & Tank Tops,
Batch 2,240537,Vivo Bodysuits T- Shirts & Tank Tops - RFS 3,Style Number,Vivo Bodysuits T- Shirts & Tank Tops,
Batch 2,240538,Vivo Bodysuits T- Shirts & Tank Tops - RFS 4,Style Number,Vivo Bodysuits T- Shirts & Tank Tops,
Batch 2,240539,Vivo Bodysuits T- Shirts & Tank Tops - RFS 5,Style Number,Vivo Bodysuits T- Shirts & Tank Tops,
Batch 2,344641,Vivo Essentials Dolman Maxi Dress - Teal,Style Name,,VE0016
Batch 2,249199,Vivo Full Length Pants - RFS 1,Style Number,Vivo Full Length Pants,
