Style Number,Product Name in Odoo,Current Style Name in Odoo,Proposed Style Name (from DB)
S0125059,Safari by Vivo Tiwa Wide Leg Pants in Linen - Black,Safari Tiwa Wide Leg Pants,Safari by Vivo Tiwa Wide Leg Pants in Linen
S0223175,Safari Mali Off - Shoulder Ruffle Knee Length Dress - Dark Pink,Safari Mali Off - Shoulder Ruffle Knee Length Dress,Safari Mali Off
S0424056,Safari Mali Bubble Sleeve Tent Dress MG - Orange,Safari Bubble Sleeve Tent Dress MG,Safari Mali Bubble Sleeve Tent Dress MG
S0425020,Safari Naledi Wrap Top - Mustard,Safari Naledi Wrap Top,Safari Naledi Wrap Top in Cotton
S0425042,Shiv & Shikie X Safari V-Neck Long Sleeve T-shirt - Dark Tan,Shiv & Shikie X Safari V-Neck Long Sleeve T-shirt,Shiv Shikie X Safari V-Neck Long Sleeve Sweatshirt in Rib
S0824069,Safari Njano Cowl Top - Black / Brown Adisa Print,Safari Njano Cowl Top,Safari by Vivo Njano Drawstring Top in Cotton
S0824091,Safari Sahara Waterfall - Black,Safari Side Frill Kaftan MG,Safari Side Frill Kaftan
S0825039,Safari Solana Bubble Midi Skirt - Black,Safari Solana Bubble Midi Skirt,Safari Solana Bubble Midi Skirt in Cotton
S0923074,Safari Kikoy Bubble Sleeve Crop Wrap Top - Blue,Safari Kikoy Bubble Sleeve Crop Wrap Top,Safari Kikoy Off Shoulder Crop Top
S0923076,Safari Kikoy Long Sleeved Shirt Dress- Dark Maroon,Safari Kikoy Long Sleeved Shirt Dress,Safari Kikoy Long Sleeved Shirt Dress- Dark Maroon
S0924007,Safari Mansi Hi-Low Shirt - Green Stripes,Safari Mansi Hi-Low Shirt,Safari by Vivo Mansi Hi-Low Shirt
S0924011,Safari Mansi Wide Hem Tent Dress - Brown Stripes,Safari Mansi Wide Hem Tent Dress,Safari Mansi Wide Hem Tent Dress in Cotton
S0925049,Safari Tafari Highlow Top in Kitenge - Ariza Print ,Safari Tafari Highlow Top in Kitenge,Safari by Vivo Tafari Highlow Top in Kitenge
S0925049,Safari by Vivo Tafari Highlow Top in Kitenge - Black Brown Shade C,Safari Tafari Highlow Top,Safari by Vivo Tafari Highlow Top in Kitenge
S1025026,Safari by Vivo Zehra Drawstring Pants - Beige,Safari by Vivo Zehra Drawstring Pants,Safari by Vivo Zehra Drawstring Pants in Linen Blend
S1125044,Safari by Vivo Zehra Kitenge Short Kimono - Kosi Print,Safari by Vivo Zehra Kitenge Short Kimono,Safari by Vivo Zehra Short Kimono in Kitenge
V0120027,Vivo Basic Val Chiffon Top - Black & White Pinstripes,Vivo Basic Val Chiffon Top,Vivo Val Chiffon Top
V0120033,Vivo Basic Wide Liv Chiffon Maxi Dress - Cream / Green,Vivo Basic Wide Liv Chiffon Maxi Dress,Vivo Wide Liv Chiffon Maxi
V0120074,Vivo Basic Nandi Lined Pants - White Floral,Vivo Basic Nandi Lined Pants,Vivo Nandi Lined Pants
V0121065,Vivo Basic Dua Jacket - Raspberry,Vivo Basic Dua Jacket,Vivo Basic Dua Jacket in Ponte
V0121167,Vivo Dua 3/4 Sleeved V Neck Shirt in Satin - Mustard / Red Arisi Print ,Vivo Dua 3/4 Sleeved V Neck Shirt,Vivo Dua Shirt
V0122078,Vivo Basic Straight Leg Pants in Ponte - Black,Vivo Basic Straight Leg Pants,Vivo Basic Straight Leg Pants in Ponte
V0126027,Vivo Dua Shirt in Textured Satin  - Dark Brown,Vivo Dua Shirt In Satin,Vivo Dua Shirt in Textured Satin
V0220004,Vivo Basic Strappy Belt - Black Checked Print,Vivo Basic Strappy Belt,Vivo Strappy Belt
V0220052,Vivo Basic Double Layered High Cowl Bodycon - Taupe,Vivo Basic Double Layered High Cowl Bodycon,Vivo Double Layered High Cowl Bodycon
V0221043,VIvo Zuri Sleeveless Tent Maxi Dress - Sample,VIvo Zuri Sleeveless Tent Maxi Dress,Vivo Zuri Sleeveless Tent Maxi Dress
V0223225,Vivo Scalloped Kimono in Crepe - Beige / Grey Print ,Vivo Scalloped Kimono in Crepe,Vivo Basic Open Kaftan
V0224172,Vivo Kelemi Maxi Kaftan Dress MG - Mustard / Green Leke Print + Cream,Vivo Kelemi Maxi Kaftan Dress MG,Vivo Kelemi Maxi Kaftan Dress
V0224233,Vivo Reba Hi - Low Dress - Dark Green,Vivo Reba Hi Low Dress,Vivo Reba Hi Low  Dress
V0224250,Vivo Reversible Poncho without Fringes - Mustard / Chocolate Brown Samba Print (copy),Vivo Reversible Poncho Without Fringes,Vivo Reversible Printed Poncho
V0225024,Vivo Chela Wide Leg Pants - Buttermilk,Vivo Chela Wide Leg Pants,Vivo Chela Wide Leg Pants in Stretch Rib
V0325053,Vivo Safa Straight Leg Pants in Stretch Rib - Black,Vivo Safa Straight Leg Pants,Vivo Safa Straight Leg Pants in Stretch Rib
V0422070,Vivo Basic Cap Sleeve Bodycon in Rayon - Black,Vivo Basic Cap Sleeve Bodycon,Vivo Basic Cap Sleeve Bodycon in Rayon
V0423006,Vivo Bana Batwing Top in Jersey - Burgundy ,Vivo Bana Batwing Top,Vivo Bana Batwing Top in Jersey
V0423023,Vivo Tatili Bishop Long Sleeve Top In Satin - Fuschia / Black Garini Print ,Vivo Tatili Bishop Long Sleeve Top In Satin,Vivo Tatili Bishop Long Sleeve Top
V0423045,Vivo Bana Ribbed Crop Top- Black,Vivo Bana Ribbed Crop Top,Vivo Bana Ribbed Crop Top- Black
V0425011,Vivo Takali Tunic Top in Textured Satin - Buttermilk,Vivo Takali Tunic Top In Satin,Vivo Takali Tunic Top in Textured Satin
V0425011,Vivo Takali Tunic Top in Textured Satin - Lilac / Eggplant Arisi Print,Vivo Takali Tunic Top,Vivo Takali Tunic Top in Textured Satin
V0425034,Vivo Sierra Maxi Chiffon Dress in Chiffon - Mustard / Black Arah Print ,Vivo Sierra Maxi Chiffon Dress,Vivo Sierra Maxi Dress in Chiffon
V0520014,Vivo Hijab - Print,Vivo Hijab,Vivo Basic Hijab Head Wrap
V0523168,Vivo Laika Bishop Sleeve Shift Dress - Black,Vivo Laika Bishop Sleeve Shift Dress,Vivo Laika Bishop Sleeve Shift Dress in Crepe
V0525008,Vivo Keza Circular Loose Top in Satin - White / Olive Mani Print  ,Vivo Keza Circular Loose Top in Satin,Vivo Keza Circular Loose Top
V0525015,Vivo Samira Pants - White / Black Print,Vivo Samira Pants,Vivo Samira Pants in Rayon
V0525029,Vivo Samira Wide Kimono in Rayon - Black / Brown Polka Dot   ,Vivo Samira Wide Kimono in Rayon,Vivo Samira Wide Kimono
V0525064,Vivo Denim Straight Leg Pants - Navy,Vivo Denim Straight Pants,Vivo Denim Straight Leg Pants
V0525075,Vivo Basic Round Neck Maxi Dress In Crepe - Red / Black Zela Print ,Vivo Basic Round Neck Maxi Dress In Crepe,Vivo Basic Round Neck Maxi Dress
V0620004,Vivo Basic Tulia Long Sleeved Top - Dark Green,Vivo Basic Tulia Long Sleeved Top,Vivo Tulia Long Sleeved Top
V0622041,Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top - Black Checkered,Vivo Mistari 3/4 Sleeve V - Neck Collared Tunic Top,Vivo Mistari 3/4 Sleeve V
V0625016,Vivo Diella Wide Leg Pants in Crepe - Black,Vivo Diella Wide Leg Pants,Vivo Diella Wide Leg Pants in Crepe
V0625048,Vivo Iyana Bubble Mini Dress - Dark Magenta,Vivo Iyana Knee Length Bubble Dress,Vivo Iyana Bubble Mini Dress in Satin
V0625048,Vivo Iyana Bubble Mini Dress - Light Yellow,Vivo Iyana Knee Length Bubble Dress in Satin,Vivo Iyana Bubble Mini Dress in Satin
V0625049,Vivo Iyana Cape Top in Chiffon - Lime / Dark Green Bori Print ,Vivo Iyana Cape Top in Chiffon,Vivo Iyana Cape Top
V0625050,Vivo Iyana Shirred Waist Jumpsuit in Crepe - Grey / Black Azari Print ,Vivo Iyana Shirred Waist Jumpsuit,Vivo Iyana Shirred Waist Jumpsuit in Crepe
V0719254,Vivo Basic Destiny Chiffon Top - Black / White Print,Vivo Basic Destiny Chiffon Top,Vivo Destiny Chiffon Top
V0719553,Vivo Mock Maxi Dress - Orange,Vivo Mock Maxi Dress,Vivo Mock Neck Tent Maxi Dress
V0719693,Vivo Everyday Side Twist Bodycon in Jersey - Dark Green,Vivo Everyday Side Twist Bodycon in Jersey,Vivo Side Twist Dress
V0724026,Vivo Amai Hi-Low Top in Satin - Fuschia / Black Garini Print   ,Vivo Amai Hi-Low Top in Satin,Vivo Amai Hi-Low Top
V0725022,Vivo Essi Wide Leg Pants - Dark Mustard,Vivo Essi Wide Leg Pants,Vivo Essi Wide Leg Pants in Satin
V0725022,Vivo Essi Wide Leg Pants In Satin - Fuschia,Vivo Essi Wide Leg Pants In Satin,Vivo Essi Wide Leg Pants in Satin
V0725039,Vivo Aleri Wide Leg Pants in Ponte - Black,Vivo Aleri Wide Leg Pants,Vivo Aleri Wide Leg Pants in Ponte
V0725044,Vivo Tanda A-Line Maxi Dress - Grey,Vivo Tanda A-Line Maxi Dress,Vivo  Tanda A-Line Maxi Dress
V0725047,Vivo Tanda Maxi Skirt - Pink,Vivo Tanda Maxi Skirt,Vivo Tanda Maxi Skirt in Stretch Rib
V0819015,Vivo Basic 3/4 Sleeved JK Jacket - Rust,Vivo Basic 3/4 Sleeved JK Jacket,Vivo Jk Jacket
V0819135,Vivo Escape Sheath Dress (Special Offer) - White,Vivo Escape Sheath Dress (Special Offer),Vivo Escape Sheath Dress
V0824033,Vivo Paji 3/4 Sleeve Shift Dress (Tall) - Mustard,Vivo Paji 3/4 Sleeve Shift Dress (Tall),Vivo Paji 3/4 Sleeve Shift Dress (Regular)
V0824090,Vivo Chidii Maxi Kaftan in Satin - Beige / Black Print,Vivo Chidii Maxi Kaftan,Vivo Chidii Maxi Kaftan in Satin
V0825015,Vivo Lena Slim Fit Pants in Pinstripe - Black / White Stripes,Vivo Lena Slim Fit Pants,Vivo Lena Slim Fit Pants in Pinstripe
V0825023,Vivo Keza V- Neck Maxi Kaftan - Dark Taupe / black,Vivo Keza V- Neck Maxi Kaftan,Vivo Lena Pleated Wide Pants
V0825024,Vivo Anavi Leggings in Jersey - Black,Vivo Anavi Leggings In Jersey,Vivo Anavi Leggings in Jersey
V0825059,Vivo Lulu Flared Pants in Denim - Navy,Vivo Lulu Denim Flared Pants,Vivo Lulu Flared Pants in Denim
V0924035,Vivo Zena Shirred Waist Maxi Shirt Dress in Crepe - White / Maroon Dana Print ,Vivo Zena Shirred Waist Maxi Shirt Dress in Crepe,Vivo Zena Shirred Waist Maxi Shirt Dress
V0924047,Vivo Kelemi Sleeveless Side Tie Top - Lime / Red Waso Print,Vivo Kelemi Sleeveless Side Tie Top,Vivo Kelemi Sleeveless Side Tie Top- Mustard / Red Waso Print
V1019069,Vivo Basic Escape A-Line Dress,Vivo Basic Escape A-line Dress,Vivo Basic Escape A-Line Dress
V1023070,Vivo Sanyu Bubble Off - Shoulder Top - Black,Vivo Sanyu Bubble Off - Shoulder Top,Vivo Sanyu Bubble Off
V1025001,Vivo High Low Top in Cotton - Black,Vivo Cotton High Low Top,Vivo High Low Top in Cotton
V1025002,Vivo Lulu Cotton Tent Mini Dress in Cotton -  Burgundy,Vivo Lulu Cotton Tent Mini Dress,Vivo Lulu Cotton Tent Mini Dress in Cotton
V1025053,Vivo Lulu Drawstring Top in Cotton - Light Orange,Vivo Lulu Drawstring Top,Vivo Lulu Drawstring Top in Cotton
V1025053,Vivo Lulu Drawstring Top in Cotton - Lime,Vivo Lulu Drawstring Top In Cotton,Vivo Lulu Drawstring Top in Cotton
V1119113,Vivo Everyday Sleeveless Waterfall in Jersey - Black,Vivo Basic Sleeveless Jersey Waterfall,Vivo Everyday Sleeveless Waterfall in Jersey
V1119113,Vivo Everyday Sleeveless Waterfall in Jersey - Fuschia,Vivo Everyday Sleeveless Jersey Waterfall,Vivo Everyday Sleeveless Waterfall in Jersey
V1120036,Everyday Cap Sleeve Top in Jersey-Black,Vivo Everyday Cap Sleeve Top,Vivo Everyday Cap Sleeve Top in Jersey
V1121090,Vivo Basic Capri Leggings in Rayon - Black,Vivo Basic Capri Leggings,Vivo Basic Capri Leggings in Rayon
V1123012,Vivo Hanabi Off - Shoulder Top - Black,Vivo Hanabi Off - Shoulder Top,Vivo Hanabi Off
V1123138,Vivo Sanali Off - Shoulder Top - Brown,Vivo Sanali Off - Shoulder Top,Vivo Sanali Off
V1123165,Vivo Sakari Circular Loose Top in Chiffon - Black / Rust Textured Print (copy),Vivo Sakari Circular Loose Top in Chiffon,Vivo Sakari Circular Loose Top
V1125023,Vivo Liora Strappy Cullote Jumpsuit in Crepe - Black / Brown Spiral,Vivo Liora Strappy Culotte Jumpsuit,Vivo Liora Strappy Cullote Jumpsuit in Crepe
V1221156,Vivo Lani Head Wrap  - Green / Black Spiral Print,Vivo Lani Head Wrap,Vivo Lani Headwrap in Textured Satin
Z0324070,Zoya Yuni One Shoulder Crop Top - Dark Green,Zoya Yuni One - Shoulder Crop Top,Zoya Yuni One Shoulder Crop Top
Z0422109,Zoya Brave Hoodie Print Crop Top - Geometric / Rainbow Print,Zoya Brave Hoodie Print Crop Top,Zoya X Bold Hoodie Print Crop Top
