Product Name,Style Number(s),Match Type
Shiv & Shikie X Safari Boxy T Shirt,S0425044,exact
Shiv & Shikie X Safari Cargo Pants,S0425037,exact
Shiv & Shikie X Safari Drawstring Shorts,S0425036,exact
Shiv & Shikie X Safari Printed Short Sleeve Shirt,S0425041,exact
Shiv & Shikie X Safari Barrel Pants,S0425039,exact
Shiv & Shikie X Safari Faux Collar Printed Shirt,S0525005,exact
Shiv & Shikie X Safari Faux Collar Shirt,S0425045,exact
Vivo Anavi Maxi Dress In Jersey,V0825025,exact
Vivo Anavi Short Sleeve Top,V0925031,exact
Safari Mara Wide Bishop Sleeve Top,S1122036,exact
Safari Njano Mens Bound Neck Shirt,S0824026,exact
Safari Njano Men's Easy Fit Pants,S0824028,exact
Safari Men's Drawstring Shorts,S0424041,fuzzy
Safari By Vivo Mens Cotton Short Sleeve Shirt,S0925060,exact
Safari Savannah Men's Half Placket Shirt,S0624019,exact
Safari Men's Kitenge Drawstring Shorts,S0424041,exact
Safari By Vivo Mens Cotton Shorts,S0925059,exact
Safari Mansi Mens Summer Shirt,S0924024,exact
Safari Savannah Men's Short Sleeve Shirt,S0724125,exact
Safari Njano Men's Straight Leg Pants,S0824029,exact
Safari Mens Kitenge Drawstring Shorts,S0424041,fuzzy
Safari Njano Men's Short Sleeve Shirt,S0925041,exact
Safari Njano Mens Short Sleeve Shirt,S0925041,fuzzy
Safari Men's Short Sleeve Shirt,S0424198,exact
Safari Njano Men's Knee Length Shorts,S0824030,exact
Safari Men's Long Sleeve T-shirt,S0824053,exact
Safari Savannah Men's Drawstring Shorts (Tall),S0624022,fuzzy
Safari Savannah Men's Drawstring Shorts (Regular),S0624022,exact
Safari By Vivo Mens Cotton Pants,S0925061,exact
Safari Tiwa Straight Leg Pants,S0325033,exact
Safari Reversible Shirt Jacket,S0120016,exact
Safari By Vivo Mens Cotton Long Sleeve Shirt,S0925062,exact
Safari Njano Men's Easy Fit Kitenge Pants,S0925045,exact
Safari Tara Barell Pants,S0525068,exact
Safari Savannah Front Slit Midi Skirt,S0724014,exact
Safari Tara Crop Shacket,S0525067,exact
Safari Njano Joggers,S0724143,exact
Safari Kitenge T-Shirt,S0524199,exact
Safari Bush Cropped Short Sleeve Shacket,S0424073,fuzzy
Safari Savannah Kitenge Shacket,S0824068,exact
Safari Savannah Midi Wrap Dress,S0724088,exact
Safari Kamari Wide Leg Pants,S0224196,exact
Safari Lira Panelled Camisole Top,S1123109,exact
Safari Hawi Peplum Bishop Sleeve Wrap Coat,S0423069,exact
Safari by Vivo Zene High Low Shirt Dress,S1023064,fuzzy
Safari Zene High Low Shirt Dress,S1023064,exact
Safari Kamari Cotton Shorts,S0224193,exact
Safari Kikoy Long Sleeve Shacket,S0923075,exact
Safari Kaya Long Sleeve Shirt Dress,S0223186,exact
Safari Mali Wrap Lapel Top,S0123091,exact
Safari Tawi Shirt Collar Bishop Sleeve Tiered Dress,S0322135,exact
Safari Huru 3/4 Sleeved Loose Top,S0421099,exact
Safari Mara 3/4 Sleeve Flounce Tunic Top,S1122050,exact
Safari Kikoy Wide Leg Pants -Black,S0923067,fuzzy
Safari Kikoy Long Sleeved Shirt Dress,S0923076,fuzzy
Safari Kikoy Tunic High Low Top With Side Slits,S0923068,exact
Safari Mali 3/4 Sleeve Tie Shirt,S0123089,exact
Safari Basic Ribbed Tank Top,S1120077,exact
Safari Haya High Low Dress,S0124009,exact
Safari Haya 0ne Shoulder Asymmetrical Side Tie Top,S0124008,exact
Safari Lira Criss,S1123100,exact
Safari Zene Dolman Top,S0324027,exact
Safari by Vivo Tawi Off Shoulder Knee Length Dress,S0322128,fuzzy
Safari by Vivo  Tawi Bishop Sleeve Tiered Dress,S0322133,fuzzy
Safari Tawi A-Line Long Sleeve Shirt Dress,S0322118,exact
Safari by Vivo Kikoy Wrap Dress,S0923093,fuzzy
Safari by Vivo Savannah Midi Wrap Dress,S0724088,fuzzy
Safari by Vivo  Tiwa Shirred Top,S0125049,fuzzy
Safari Bush Sweatshirt,S0424053;S0524187,exact
Safari Mara Cape Top,S1122042,exact
Safari by Vivo Zene Off Shoulder Dress,S1023065,fuzzy
Safari by Vivo Kamari Maxi Dress,S0224201,fuzzy
Safari by Vivo Chui 3/4 Sleeve A-Line Dress,S1024009,fuzzy
Popular 21 Ribbed Long-Sleeve Mini Dress,P21DZ77,exact
Denim Haven High Rise Skinny Ripped Jeans,DH0001D;DH0001L,exact
Anika Pleated Highwaist Aline Side Zipper Short Skater Skirt,AN00237,exact
Sleeveless Racer-back Dress,P21DX83,fuzzy
Square-Back V-Neck Dress,P21DX74,exact
Unshaped Spaghetti-Strap Dress,P21DX81,exact
Double O-ring Cami Dress,P21DX79,exact
Racer Front & Back Mini Dress,P21DX83,exact
Key Hole Halter with Seamed Body,P21TX94,exact
Lace-Up Back Spaghetti-Strap Dress,P21DX80,exact
Classic Flared Miniskirt,P21SX70,exact
Anika Ribbed Pencil Skirt,CXSZSX7,exact
Black Leopard Print Cut-out One Shoulder Bodycon Dress,LOL2210,exact
Soko Maxi Dash Necklace,JN23315,exact
Cowl Lined Midi Halter Dress,P21DD80,exact
Vivo X This Is Essential Sleeveless Scooped Neck Bodysuit,V0823158,exact
Vivo Kelemi Satin Boat Neck Midriff Top,V0724019,exact
Vivo Kelemi Layered Top,V1024068,exact
Vivo Essentials Bodycon,VE0008B;VE0008O;VE0008W;VE0008Y,exact
Vivo Tiered Shirt Dress,VE0029I;VE0029K;VE0029R;VE0029S,exact
Vivo X This Is Essential One Shoulder Bodysuit,V0524004,exact
Vivo Essentials Drop Shoulder Top,VE0078B;VE0078Y,exact
Vivo Samira Maxi Kimono,V0525043,exact
Vivo X This Is Essential Raceback Bralette,V0424116,exact
Vivo Kitenge Wide Leg Pants,VE0032P,exact
Vivo Essentials Lounge Pants,VE0020B;VE0020T,exact
Vivo Nimali Satin Flounce Kimono,VE0060D;VE0060L;VE0060N;VE0060P,exact
Vivo Liora Shorts,V0925026,exact
Vivo Lalani Turtle Neck Sweater Dress,V1124086,exact
Vivo Iyana Cape Top In Chiffon,V0625049,fuzzy
Vivo Essentials Dolman Maxi Dress,VE0016B;VE0016T,exact
Vivo Cargo Pants,VE0047E,exact
Vivo Essentials Strappy Cold Shoulder Top,VE0009B,exact
Vivo Alma Mini Skirt,V0725046,fuzzy
Vivo Essentials Capri Leggings,VE0003B;VE0003M;VE0003O;VE0003T;VE0003W;VE0003Y,exact
Vivo Essentials Bandeau,VE0017B,exact
Vivo X This Is Essential Ruched Bodysuit,V0524005,exact
Vivo X This Is Essential Scooped Neck Bralette,V0324021,exact
Vivo Kitenge Tie Top,V0624024,exact
Vivo Wide-Leg Pants,VE0032A;VE0032M,exact
