SKU,Product Name,Price (KES),Price (UGX est.),Source
V0223139NABM,Vivo Basic Izzy Satin Bishop Sleeve Top - Navy Blue - NAVY BLUE / V0223139 / M,2715,77565,Uganda sales
V0423025BLAS,Vivo Tatili Drop Shoulder Cowl Top - Black - BLACK / V0423025 / S,2852,81493,Uganda sales
S0124010PR2S,Safari Haya Strappy Tie Back Maxi Dress - Dark Green Kiki Print - DARK GREEN KIKI PRINT / S0124010 / S,4777,136475,Uganda sales
V0924095LILS,Vivo Serwa Flounce Dress - Lilac,4330,123711,Uganda sales
V0924095LIL3X,Vivo Serwa Flounce Dress - Lilac - LILAC / V0924095 / 3X,5550,,Kenya sales (no Uganda record)
S0224196HGN4X,Safari Kamari Wide Leg Pants - Hunters Green - HUNTERS GREEN / S0224196 / 4X,2900,,Kenya sales (no Uganda record)
V0523180NABL,Vivo Laika Long Sleeve Mandarin Top - Navy Blue - NAVY BLUE / V0523180 / L,3402,97202,Uganda sales
V0624004PR2M,Vivo Nasinka A-line Knee Length Dress - Navy / Tan Sika Print - NAVY / TAN SIKA PRINT / V0624004 / M,6220,177713,Uganda sales
V0122102HGNS,Vivo Faraji Side Slit Leisure Pants - Hunters Green - HUNTERS GREEN / V0122102 / S,4433,126657,Uganda sales
V0723048WHIM,Vivo Sawari Long Sleeve V-Neck Midriff Top - White - WHITE / V0723048 / M,4570,130584,Uganda sales
V0421003OFWM,Vivo Muna Cap Sleeved Knee Length Dress - Off White - OFF WHITE / V0421003 / M,4777,136475,Uganda sales
V0125032PR2S,Vivo Yene Jumpsuit - White / Burgundy Shibori Print,3885,,Kenya sales (no Uganda record)
Z0822087NABS,Zoya Nia Wide Leg Shorts - Navy Blue - NAVY BLUE / Z0822087 / S,2550,,Kenya sales (no Uganda record)
V0120065PR311X/2X,Vivo Basic Nandi A-Line Kimono - Black / White Off-white Nel Print - BLACK / OFF-WHITE NEL PRINT / V0120065 / 1X/2X,4433,126657,Uganda sales
V0425056DPURM,Vivo Diella 3/4 Sleeve A-Line Dress  - Dark Purple - DARK PURPLE / V0425056 / M,4500,,Kenya sales (no Uganda record)
V0325036MUSS,Vivo Kaisa Short Sleeve Maxi Bodycon - Mustard - mustard / V0325036 / s-1,5301,,Kenya sales (no Uganda record)
VE0003TEA3X,Vivo Essentials Capri Leggings - Teal - Teal / VE0003 / 3X,2990,85420,Uganda sales
VE0003MUL3X,Vivo Essentials Capri Leggings - Mulberry - Mulberry / VE0003 / 3X,2990,85420,Uganda sales
V0424158KHA2X,Vivo Cowl Camisole - Khaki - KHAKI / V0424158 / 2X,1443,41237,Uganda sales
V0523154NAV4X,Vivo Basic Cap Sleeved Bodysuit - Navy Blue,2543,72656,Uganda sales
S0424075PIN4X,Safari Huru Halter Sleeveless High Low Dress - Pink - PINK / S0424075 / 4X,6460,184585,Uganda sales
V0722063BLAL/XL,Vivo Long Sleeve Maxi Waterfall - Black - BLACK / V0722063 / L/XL,7801,222877,Uganda sales
V0525008PR8F,Vivo Keza  Circular Loose Top - Lilac / Navy Willow Print - LILAC / NAVY WILLOW PRINT / V0525008 / F,4158,118802,Uganda sales
V0824086PR6M,Vivo Chidii Wide Leg Pants - Light Tan / Navy Tulu Print,3849,109966,Uganda sales
V0421003OFWL,Vivo Muna Cap Sleeved Knee Length Dress - Off White,4777,136475,Uganda sales
VE0008YEL3X,Vivo Essentials Bodycon - Yellow - YELLOW / VE0008 / 3X,2750,,Kenya sales (no Uganda record)
V0824086PR6S,Vivo Chidii Wide Leg Pants - Light Tan / Navy Tulu Print - LIGHT TAN / NAVY / V0824086 / S,5498,157094,Uganda sales
V0623026PR25L/1X,Vivo Maisha Long Sleeve High Low Kimono - Mint / Beige Tawi Print,2250,,Kenya sales (no Uganda record)
V0725023RED1X,Vivo Ari One Shoulder Maxi Dress - Red,2200,,Kenya sales (no Uganda record)
V1124094PR24X,Vivo Serwa Crepe Pants - Light Blue / Navy Sera Print,2120,,Kenya sales (no Uganda record)
V0725021PR31X/2X,Vivo Kemi Side Cowl Maxi Dress - White / Lime Emi Print - WHITE/ LIME EMI PRINT / V0725021 / 1X/2X,7010,200295,Uganda sales
V1124094PR23X,Vivo Serwa Crepe Pants - Light Blue / Navy Sera Print - LIGHT BLUE / NAVY SERA PRINT / V1124094 / 3X,1911,54590,Uganda sales
V0524194PR5S/M,Vivo Cuffed Wide Sweater - Black / Rust - BLACK / RUST / V0524194 / S/M,7354,210113,Uganda sales
V0825060LIMM,Vivo Alma Short Sleeve Mini Bodycon - Lime,2911,83162,Uganda sales
V0723048GRY1X,Vivo Sawari Long Sleeve V-Neck Midriff Top - Grey - GREY / V0723048 / 1X,893,25528,Uganda sales
VE0034MOA4X,Vivo Shorts - Moabi - VE0034 / MOABI / 4X,790,22582,Uganda sales
V0525026PR5F,Vivo Maisha Wide Kimono - Grey / Black Print - grey-black-print-1 / V0525026 / f,5361,153167,Uganda sales
RFS0125002 - RFS2,Vivo Loose Tops - RFS 2,3918,111929,Uganda sales
V0120065PR31XS/S,Vivo Basic Nandi A-Line Kimono - Black / White Off-white Nel Print - BLACK / OFF-WHITE NEL PRINT / V0120065 / XS/S,4433,126657,Uganda sales
V1025012SGRNM/L,Vivo Anavi Cascade Waterfall - Sea Green - SEA GREEN / V1025012 / M/L,4500,,Kenya sales (no Uganda record)
V1221043PR471X,Vivo Basic Satin Cap Sleeve Top - Dark Tan / Lime Print,2818,80511,Uganda sales
V1019114PR3XS/S,Vivo Basic Nandi High Slit Kimono -  Blush Pink / White Idu Print - BLUSH PINK / WHITE IDU PRINT / V1019114 / XS/S,4433,126657,Uganda sales
V0725029SEGS,Vivo Ari Sleeveless Straight Maxi Slit Dress - Sea Green,3920,,Kenya sales (no Uganda record)
V0825060LIMS,Vivo Alma Short Sleeve Mini Bodycon - Lime - LIME / V0825060 / S,3500,,Kenya sales (no Uganda record)
V1123129PR11S,Vivo Sanali Wide Leg Pants - Beige / Red Print - BEIGE / RED PRINT / V1123129 / S,5566,,Kenya sales (no Uganda record)
S0424081DTAM/L,Safari Lounge Pants - Dark Tan - DARK TAN / S0424081 / M/L,4948,141385,Uganda sales
V0425056DPUR1X,Vivo Diella 3/4 Sleeve A-Line Dress  - Dark Purple - PURPLE / V0425056 / 1X,4500,,Kenya sales (no Uganda record)
V1019114PR10M/L,Vivo  Nandi High Slit Kimono - Navy / Grey Print,4364,124693,Uganda sales
V0624033PR142X,Vivo Nasinka A-Line Maxi Dress - Orange / Black Tilla Print,7766,221895,Uganda sales
V0924095LIL1X,Vivo Serwa Flounce Dress - Lilac,4440,,Kenya sales (no Uganda record)
S0525022PR4M,Safari Naledi Flounce Tent Dress - Green / Blue Nale Print - green-blue-nale-print / S0525022 / m-1,8797,251350,Uganda sales
S0424081POBM/L,Safari Lounge Pants - Powder Blue - POWDER BLUE / S0424081 / M/L,4948,141385,Uganda sales
V0625047BLRE1X/2X,Vivo Iyana Maxi Cover Up - Black / Red - BLACK / V0625047 / 1X/2X,6500,,Kenya sales (no Uganda record)
V0924095PR4S,Vivo Serwa Flounce Dress - Black / Pink Print,4619,131959,Uganda sales
