SKU,Uganda Product Title,Price (UGX),Compare At Price (UGX)
V0223139NABM,Vivo Basic Izzy Satin Bishop Sleeve Top - Navy Blue,27720,39600
V0423025BLAS,Vivo Tatili Drop Shoulder Cowl Top - Black,11620,16600
S0124010PR2S,Safari Haya Strappy Tie Back Maxi Dress - Dark Green Kiki Print,47600,68000
V0924095LILS,Vivo Serwa Flounce Dress - Lilac,126000,181000
V0924095LIL3X,Vivo Serwa Flounce Dress - Lilac,126000,
S0224196HGN4X,Safari Kamari Wide Leg Pants - Hunters Green,95000,4750
V0523180NABL,Vivo Laika Long Sleeve Mandarin Top - Navy Blue,20790,29700
V0624004PR2M,Vivo Nasinka A-line Knee Length Dress - Navy / Tan Sika Print,126700,181000
V0122102HGNS,Vivo Faraji Side Slit Leisure Pants - Hunters Green,9030,12900
V0723048WHIM,Vivo Sawari Long Sleeve V-Neck Midriff Top - White,37240,53200
V0421003OFWM,Vivo Muna Cap Sleeved Knee Length Dress - Off White,97300,139000
V0125032PR2S,Vivo Yene Jumpsuit - White / Burgundy Shibori Print,134400,192000
Z0822087NABS,Zoya Nia Wide Leg Shorts - Navy Blue,24640,35200
V0120065PR311X/2X,Vivo Basic Nandi A-Line Kimono - Black / White Off-white Nel Print,129000,
V0425056DPURM,Vivo Diella 3/4 Sleeve A-Line Dress  - Dark Purple,109200,156000
V0325036MUSS,Vivo Kaisa Short Sleeve Maxi Bodycon - Mustard,95900,137000
VE0003TEA3X,Vivo Essentials Capri Leggings - Teal,87000,0
VE0003MUL3X,Vivo Essentials Capri Leggings - Mulberry,87000,0
V0424158KHA2X,Vivo Cowl Camisole - Khaki,16800,42000
V0523154NAV4X,Vivo Basic Cap Sleeved Bodysuit - Navy Blue,74000,2250
S0424075PIN4X,Safari Huru Halter Sleeveless High Low Dress - Pink,188000,
V0722063BLAL/XL,Vivo Long Sleeve Maxi Waterfall - Black,46800,234000
V0525008PR8F,Vivo Keza  Circular Loose Top - Lilac / Navy Willow Print,121000,
V0824086PR6M,Vivo Chidii Wide Leg Pants - Light Tan / Navy Tulu Print,112000,160000
V0421003OFWL,Vivo Muna Cap Sleeved Knee Length Dress - Off White,139000,
