SKU,Location,Units in Stock
S0124010PR2S,The Oasis Mall,1
S0224196HGN4X,The Oasis Mall,1
S0224196WHI1X,The Oasis Mall,1
S0424075PIN4X,The Oasis Mall,1
S0424081DTAM/L,The Oasis Mall,1
S0424081POBM/L,The Oasis Mall,1
S0525022PR4M,The Oasis Mall,1
S0724143GRNT1X,Vivo Acacia,1
S0724143GRNTL,Vivo Acacia,1
S0724143NABT1X,Vivo Acacia,1
S0724143RUSHM,The Oasis Mall,1
S0825007PR1S,The Oasis Mall,1
S0825039DGNS,The Oasis Mall,2
S0924011BLAS,The Oasis Mall,2
S0925008PR8M/L,Vivo Acacia,2
S0925046PR10M,Vivo Acacia,2
S0925046PR10S,The Oasis Mall,1
S0925046PR1M,Vivo Acacia,3
S0925046PR7L,The Oasis Mall,1
V0120065PR311X/2X,The Oasis Mall,1
V0120065PR31XS/S,The Oasis Mall,2
V0121167LBLU1X/2X,Vivo Acacia,1
V0121168PR104S,The Oasis Mall,1
V0121168PR87M,The Oasis Mall,1
V0121168RUSS,The Oasis Mall,1
V0121168WHI2X,The Oasis Mall,1
V0121168WHIM,Vivo Acacia,1
V0122102HGNS,The Oasis Mall,1
V0125014PR5XS/S,The Oasis Mall,1
V0125032PR2L,The Oasis Mall,1
V0125032PR2S,The Oasis Mall,2
V0125045PR7XS/S,Vivo Acacia,1
V0126018PR5S,The Oasis Mall,1
V0220007DAMS,The Oasis Mall,1
V0221084PR38M,Vivo Acacia,3
V0223139NABM,The Oasis Mall,1
V0223152DGNS/M,The Oasis Mall,1
V0223152DGNS/M,Vivo Acacia,2
V0223153PR12S,The Oasis Mall,2
V0223153PR12S,Vivo Acacia,2
V0223154DTEALM,The Oasis Mall,1
V0223225PR24F,The Oasis Mall,1
V0224220PR8M,The Oasis Mall,1
V0225003PR31X,The Oasis Mall,2
V0225003PR3S,The Oasis Mall,2
V0225011GRES,The Oasis Mall,1
V0225025LTAUM,The Oasis Mall,1
V0322154PR21X,The Oasis Mall,1
V0324069LGRYL,The Oasis Mall,2
V0325034BHTS,The Oasis Mall,1
V0325036MUSS,The Oasis Mall,3
V0325040BHTS,The Oasis Mall,1
V0421003OFWL,The Oasis Mall,1
V0421003OFWM,The Oasis Mall,1
V0421003PR381X,The Oasis Mall,1
V0421003PR38L,The Oasis Mall,1
V0421003PR38L,Vivo Acacia,2
V0423006MAR1X/2X,The Oasis Mall,1
V0423018TEAM,Vivo Acacia,1
V0423019CHOS,The Oasis Mall,1
V0423019OGRN1X,Vivo Acacia,1
V0423019OGRNS,Vivo Acacia,2
V0423023SBLUS,The Oasis Mall,1
V0423025BLAS,The Oasis Mall,1
V0423050LIMS,The Oasis Mall,4
V0424158KHA2X,The Oasis Mall,1
V0424161PR5F,Vivo Acacia,1
V0425034RUSL,Vivo Acacia,1
V0425034RUSS,The Oasis Mall,1
V0425034RUSS,Vivo Acacia,1
V0425056DPUR1X,The Oasis Mall,1
V0425056DPURM,The Oasis Mall,1
V0523155HGNS,The Oasis Mall,1
V0523165PR6S,The Oasis Mall,1
V0523168BLAS,Vivo Acacia,2
V0523168DAPM,The Oasis Mall,1
V0523180NABL,The Oasis Mall,1
V0524178REDS,Vivo Acacia,2
