attribute,value
Assortment Type,Core
Assortment Type,Hero
Assortment Type,NOOS
Assortment Type,Signature
Brand,Safari
Brand,Third Party Brands
Brand,Vivo
Brand,Zoya
Category,Accessories
Category,Bottoms
Category,Dresses
Category,Mens
Category,N/A
Category,Outerwear
Category,Sale
Category,Skirts
Category,Tops
Category,Two-Piece Set
Collection,Long Sleeve
Collection,N/A
Collection,Safari 3/4
Collection,Safari Anga
Collection,Safari Ayana
Collection,Safari Basic
Collection,Safari Bodysuit
Collection,Safari Bubble
Collection,Safari Bush
Collection,Safari Button
Collection,Safari By
Collection,Safari By Vivo Mens
Collection,Safari Capri/Midi
Collection,Safari Cargo
Collection,Safari Chui
Collection,Safari Corduroy
Collection,Safari Crop
Collection,Safari Culotte
Collection,Safari Dila
Collection,Safari Drawstring
Collection,Safari Dua
Collection,Safari Fitted
Collection,Safari Full
Collection,Safari Hawi
Collection,Safari Haya
Collection,Safari High
Collection,Safari High-Low
Collection,Safari Hoodie/
Collection,Safari Huru
Collection,Safari Inara
Collection,Safari Jumpsuit
Collection,Safari Kamari
Collection,Safari Kaya
Collection,Safari Kikoy
Collection,Safari Kitenge
Collection,Safari Knee
Collection,Safari Ladies
Collection,Safari Ladies'
Collection,Safari Lamu
Collection,Safari Leggings
Collection,Safari Lira
Collection,Safari Long
Collection,Safari Loose
Collection,Safari Lounge
Collection,Safari Maisha
Collection,Safari Mali
Collection,Safari Mansi
Collection,Safari Mara
Collection,Safari Maxi
Collection,Safari Men
Collection,Safari Men's
Collection,Safari Mens
Collection,Safari Midi
Collection,Safari Mini
Collection,Safari Naima
Collection,Safari Nala
Collection,Safari Naledi
Collection,Safari Nazari
Collection,Safari Nimali
Collection,Safari Njano
Collection,Safari Oversized
Collection,Safari Pencil
Collection,Safari Playsuit
Collection,Safari Reversible
Collection,Safari Ribbed
Collection,Safari Sahara
Collection,Safari Satin
Collection,Safari Savannah
Collection,Safari Scalloped
Collection,Safari Shirts
Collection,Safari Short
Collection,Safari Shorts
Collection,Safari Side
Collection,Safari Sizani
Collection,Safari Sleeveless
Collection,Safari Solana
Collection,Safari Spaghetti
Collection,Safari Swazuri
Collection,Safari T-Shirt/
Collection,Safari Tafari
Collection,Safari Talek
Collection,Safari Tara
Collection,Safari Tawi
Collection,Safari Tayo
Collection,Safari Tie
Collection,Safari Tiwa
Collection,Safari Tote
Collection,Safari Tunic
Collection,Safari Turn-up
