POS Location,Product Vendor,Subcategory,Product Title,SKU,Price,Discount,Returns,Units Sold,Net Sales
Vivo Capital Centre,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,3,3103
Vivo Capital Centre,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,4,4138
Vivo Capital Centre,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,3,3103
Vivo Capital Centre,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo City Mall,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,2,2069
Vivo City Mall,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,1,1034
Vivo City Mall,,Body Mists & Fragrances,Ythera Irresistable Fierce Rose OUD 120ml,Y1020009FROBM120,1200,0,0,1,1034
Vivo City Mall,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,2,2069
Vivo City Mall,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo Eldoret,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,1,1034
Vivo Eldoret,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,1,1034
Vivo Eldoret,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,1,1034
Vivo Eldoret,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,1,1034
Vivo Galleria,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,3,3103
Vivo Galleria,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,2,2069
Vivo Galleria,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo Garden City,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,2,2069
Vivo Garden City,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,1,1034
Vivo Garden City,,Body Mists & Fragrances,Ythera Irresistable Fierce Rose OUD 120ml,Y1020009FROBM120,1200,0,0,1,1034
Vivo Garden City,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,3,3103
Vivo Garden City,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,5,5172
Vivo Greenspan,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,2,2069
Vivo Greenspan,,Body Mists & Fragrances,Ythera Fierce Rose Fragrance Mist,Y1020006FIER120,1200,0,0,1,1034
Vivo Greenspan,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,1,1034
Vivo Greenspan,,Body Mists & Fragrances,Ythera Irresistable Fierce Rose OUD 120ml,Y1020009FROBM120,1200,0,0,1,1034
Vivo Greenspan,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,3,3103
Vivo Greenspan,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo Hub,,Body Mists & Fragrances,Ythera Fierce Rose Fragrance Mist,Y1020006FIER120,1200,0,0,1,1034
Vivo Hub,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,2,2069
Vivo Hub,,Body Mists & Fragrances,Ythera Irresistable Fierce Rose OUD 120ml,Y1020009FROBM120,1200,0,0,1,1034
Vivo Hub,,Body Mists & Fragrances,Ythera Tuber Rose Fine Fragrance Mist,Y1020001RBM120,1200,0,0,3,3103
Vivo Hub,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,1,1034
Vivo Imaara,,Body Mists & Fragrances,Ythera Diani Magic Fine Fragrance Mist,Y1020006DMBM120,1200,0,0,1,1034
Vivo Imaara,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,1,1034
Vivo Imaara,,Body Mists & Fragrances,Ythera Goddess Fine Fragrance Mist,Y1020003GBM120,1200,0,0,2,2069
Vivo Imaara,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
Vivo Junction,,Body Mists & Fragrances,Ythera Frangipani Fine Fragrance Mist,Y1020002FBM120,1200,0,0,1,1034
Vivo Junction,,Body Mists & Fragrances,Ythera Vanilla Orchid Fine Fragrance Mist,Y1020004VBM120,1200,0,0,2,2069
